bench,addr,alloc_size,alloc_type,generation,stores,unique_offsets,stores_per_byte
blender,0x52f1c80,4096,object,2,2073604.0,4096,506.25
blender,0x6182060,8294408,64bits,4,2073601.0,1036801,0.25
blender,0x5f7c4c0,2073608,object,9,2073601.0,2073601,1.0
blender,0x5598060,8294408,64bits,1,1036801.0,1036801,0.13
blender,0x5d82060,2073608,32bits,1,777601.0,518401,0.37
blender,0x535e380,983048,32bits,11,307201.0,184321,0.31
blender,0x535e380,983048,32bits,12,307201.0,184321,0.31
blender,0x535e380,983048,32bits,6,307201.0,184321,0.31
blender,0x535e380,983048,32bits,8,307201.0,184321,0.31
blender,0x535e380,983048,32bits,13,307201.0,184321,0.31
blender,0x535e380,983048,32bits,10,307201.0,184321,0.31
blender,0x535e380,983048,32bits,9,307201.0,184321,0.31
blender,0x535e380,983048,32bits,7,307201.0,184321,0.31
blender,0x5570aa0,73992,32bits,2,199713.0,18497,2.7
blender,0x53005a0,73992,32bits,1,198645.0,18497,2.68
blender,0x535e380,73992,32bits,5,198585.0,18497,2.68
blender,0x523f020,73992,32bits,3,198509.0,18497,2.68
blender,0x5290740,73992,32bits,3,197699.0,18497,2.67
blender,0x53704e0,73992,32bits,2,196079.0,18497,2.65
blender,0x522cea0,73992,32bits,2,196041.0,18497,2.65
bwaves,0xf709060,24601600,64bits,1,67654400.0,3075200,2.75
bwaves,0x992d060,24601600,64bits,1,67654400.0,3075200,2.75
bwaves,0x10e80060,24601600,64bits,1,67654400.0,3075200,2.75
bwaves,0x52c8060,24601600,64bits,1,67654400.0,3075200,2.75
bwaves,0xdf92060,24601600,64bits,1,67654400.0,3075200,2.75
bwaves,0xb0a4060,24601600,64bits,1,67654400.0,3075200,2.75
bwaves,0xc81b060,24601600,64bits,1,67654400.0,3075200,2.75
bwaves,0x16cba060,24986000,64bits,1,62465000.0,3123250,2.5
bwaves,0x154e5060,24986000,64bits,1,62465000.0,3123250,2.5
bwaves,0x6a3f060,24601600,64bits,1,61504000.0,3075200,2.5
bwaves,0x13d6e060,24601600,64bits,1,61504000.0,3075200,2.5
bwaves,0x125f7060,24601600,64bits,1,61504000.0,3075200,2.5
