bench,size_bucket_bytes,allocations
blender,4096,27
blender,8192,365
blender,16384,2670
blender,32768,148
blender,65536,133
blender,131072,145
blender,262144,1
blender,524288,8
blender,1048576,2
blender,4194304,2
bwaves,4096,8
bwaves,8192,3
bwaves,524288,60
bwaves,4194304,59
bwaves,16777216,14
cactus,4096,44
cactus,65536,1
cactus,524288,173
cam4,4096,91640
cam4,8192,608
cam4,16384,8140
cam4,32768,286
cam4,65536,20590
cam4,131072,2753
cam4,262144,14
cam4,524288,26
cam4,1048576,17
cam4,2097152,413
cam4,4194304,4
cam4,8388608,13
cam4,67108864,2
deepsjeng,536870912,1
exchange2,4096,10
exchange2,8192,2
fotonik,4096,2720
fotonik,8192,2
fotonik,32768,1
fotonik,65536,9
fotonik,262144,16
fotonik,524288,9
fotonik,1048576,6
fotonik,2097152,18
fotonik,16777216,8
fotonik,33554432,6
gcc,4096,27
gcc,8192,25
gcc,16384,23
gcc,32768,1
gcc,65536,19
gcc,131072,1
imagick,4096,4
imagick,8192,17
imagick,16384,8
imagick,32768,1
imagick,2097152,1
lbm,4096,1
lbm,134217728,2
leela,4096,370
leela,8192,472
leela,16384,1
leela,32768,1
leela,65536,2
leela,131072,1
leela,262144,1
leela,524288,1
leela,1048576,136
leela,2097152,129
mcf,4096,2
mcf,131072,10
mcf,524288,1
mcf,1048576,1
mcf,4194304,2
mcf,8388608,1
mcf,16777216,9
mcf,134217728,2
mcf,268435456,2
nab,4096,6
nab,1048576,1
namd,4096,1992
namd,8192,3459
namd,16384,2928
namd,32768,1180
namd,65536,578
namd,131072,680
namd,262144,143
namd,1048576,1
namd,2097152,14
omnetpp,4096,33
omnetpp,8192,50
omnetpp,16384,210
omnetpp,32768,131
omnetpp,65536,259
omnetpp,131072,411
omnetpp,262144,2
omnetpp,524288,1
omnetpp,1048576,1
parest,4096,28
parest,8192,13
parest,16384,28
parest,32768,25
parest,65536,2
parest,131072,1
parest,262144,1
parest,1048576,1
parest,2097152,2
perlbench,4096,68090
perlbench,8192,756
perlbench,16384,14
pop2,4096,962
pop2,8192,89
pop2,16384,328
pop2,32768,2812
pop2,65536,648
pop2,131072,626
pop2,262144,180
pop2,524288,162
pop2,1048576,61
pop2,2097152,44
pop2,4194304,39
pop2,8388608,26
pop2,16777216,9
pop2,33554432,11
pop2,134217728,1
povray,4096,15
povray,8192,136
povray,16384,14
povray,32768,30
povray,65536,191
povray,131072,138
roms,4096,60
roms,8192,2
roms,16384,808
roms,32768,48744
roms,65536,240
roms,131072,2
roms,262144,81
roms,524288,9
roms,1048576,265
roms,4194304,6
roms,8388608,7
roms,16777216,4
roms,33554432,1
wrf,4096,106221
wrf,8192,20318
wrf,16384,28280
wrf,32768,119
wrf,65536,35
wrf,131072,41
wrf,262144,921
wrf,524288,2293
wrf,2097152,64
wrf,4194304,1
x264,4096,1145
x264,8192,828
x264,16384,1
x264,32768,3
x264,65536,30
x264,131072,10
x264,262144,94
x264,1048576,88
x264,2097152,1
x264,4194304,5
xalancbmk,4096,54
xalancbmk,8192,9
xalancbmk,16384,8
xalancbmk,32768,1
xalancbmk,65536,8
xalancbmk,131072,4
xalancbmk,262144,1
xz,4096,3
xz,8192,3
xz,16384,3
xz,65536,2
xz,131072,1
xz,262144,1
xz,1048576,3
xz,2097152,2
xz,4194304,3
xz,8388608,3
xz,33554432,2
xz,67108864,1
xz,134217728,2
