bench,alloc_type,stores_with_prev,silent,silent_frac
blender,32bits,9441730,4689941,0.4967247527730617
blender,64bits,1068929,1700,0.0015903769099725052
blender,object,2583306,1875896,0.726160973574172
bwaves,32bits,8513,4653,0.5465758252085047
bwaves,64bits,1219116793,592214210,0.4857731543035188
bwaves,object,1236,939,0.7597087378640777
cactus,32bits,0,0,
cactus,64bits,299680782,99473719,0.331932259173029
cactus,object,3179,607,0.19094054734193142
cam4,32bits,94991873,30213993,0.318069241565539
cam4,64bits,1084330841,175837992,0.1621626770643518
cam4,object,12149619,1605140,0.13211443091343028
deepsjeng,object,116411650,99834271,0.8575969071823997
exchange2,32bits,6429,751,0.11681443459324933
exchange2,64bits,16,0,0.0
exchange2,object,0,0,
fotonik,32bits,231902,68671,0.2961207751550224
fotonik,64bits,233028174,232250259,0.9966617126734212
fotonik,object,25711,2675,0.10404107191474467
gcc,32bits,1171,368,0.3142613151152861
gcc,64bits,1576,409,0.25951776649746194
gcc,object,93264,27487,0.2947225081489106
imagick,32bits,17,4,0.23529411764705882
imagick,64bits,1070880,1058854,0.9887699835649185
imagick,object,1153986,185155,0.16044822034236117
lbm,64bits,502600048,403782526,0.803387360599695
lbm,object,0,0,
leela,32bits,453561,270972,0.597432318916309
leela,64bits,775212,476716,0.6149492009927607
leela,object,1431644,425272,0.2970515016302936
mcf,32bits,10817790,311260,0.028772974886737496
mcf,64bits,479696121,117191047,0.24430267802811773
mcf,object,0,0,
nab,32bits,1034,877,0.8481624758220503
nab,64bits,0,0,
nab,object,412,62,0.15048543689320387
namd,32bits,12445134,0,0.0
namd,64bits,1098401217,3083528,0.0028072874941106334
namd,object,559906,14,2.5004197133090196e-05
omnetpp,32bits,63,0,0.0
omnetpp,64bits,59104525,51120,0.0008649083974534944
omnetpp,object,18200170,794071,0.043629867193548194
parest,32bits,630197,10,1.5868053957730676e-05
parest,64bits,18432706,4529481,0.24573065940508138
perlbench,32bits,10684903,3444880,0.32240629606090015
perlbench,64bits,2058,80,0.038872691933916424
perlbench,object,4848124,4570168,0.942667308014399
pop2,32bits,482564223,356665147,0.7391039990132049
pop2,64bits,131000890,45084357,0.34415305880746305
pop2,object,24352046,7680664,0.3154011782007968
povray,32bits,864071,383889,0.44427946314596833
povray,64bits,36387965,6853508,0.18834545982442272
povray,object,1149867,1125981,0.97922716279361
roms,32bits,850851,14432,0.016961841732571273
roms,64bits,1517348180,287988125,0.1897969950443411
roms,object,7288,409,0.056119648737650935
wrf,32bits,3580992061,925576107,0.258469187094911
wrf,64bits,1335312,435824,0.3263836466683442
wrf,object,34780461,13703423,0.3939977391328999
x264,32bits,32762107,4225323,0.1289698186993895
x264,object,2589683550,929699139,0.35900105980130276
xalancbmk,64bits,318752,197069,0.6182518070474852
xalancbmk,object,169718,13852,0.08161774237264167
xz,32bits,208907419,73661289,0.3526025516594985
xz,64bits,46432411,36391846,0.7837595596748143
xz,object,1179826171,216912339,0.18385109970577182
