bench,alloc_type,total,zero_values,exp_zero,mantissa_zero,pairs,bit_identical,mean_hamming
blender,32bits,26794399,10696752,11061036,12655478,26791278,22425443,1.5523130326220347
blender,64bits,3357625,31687,203460,33807,3357312,36987,9.258899679267223
bwaves,32bits,12226,9222,10900,9222,12219,8552,3.2789098944267123
bwaves,64bits,1306476514,599523298,705863237,714533370,1306476380,523721632,16.799835161964427
cactus,32bits,323,63,241,63,304,42,5.8256578947368425
cactus,64bits,312498020,102023319,102652254,103527822,312497844,103956600,17.958781469225112
cam4,32bits,115718790,10037226,26455210,10506152,115717763,22623909,11.46361983336992
cam4,64bits,1688065555,193246431,197499648,207442125,1687942106,293732326,21.193785747056896
exchange2,32bits,11178,7162,9350,7162,11169,5627,5.205837586176023
exchange2,64bits,32,16,32,16,31,15,3.6774193548387095
fotonik,32bits,22002158,10046821,21939182,10046821,21999437,20556995,0.2110769016498013
fotonik,64bits,295842288,293747857,293747873,293758236,295842220,295286839,0.048216779200750993
gcc,32bits,2157,1154,1334,1154,2129,824,5.92296852982621
gcc,64bits,12425,8818,12425,8818,12395,8626,1.6410649455425574
imagick,32bits,1087,1075,1081,1075,1086,1072,0.16298342541436464
imagick,64bits,1075203,0,1075203,0,1075200,468515,8.700522693452381
lbm,64bits,556200048,2680000,3680048,2680000,556200046,395726035,4.208926113609131
leela,32bits,889572,448428,607026,471369,889336,414569,7.179510331303354
leela,64bits,937142,379737,937142,379737,936772,145139,8.476306934878497
mcf,32bits,10973422,1022965,2941342,1022965,10973421,1907067,6.306100166939736
mcf,64bits,556881961,75530227,475279993,75530227,556881934,33515139,21.79474797794392
nab,32bits,2958,676,2768,702,2953,654,3.017609210971893
nab,64bits,7,0,7,0,6,0,4.833333333333333
namd,32bits,12829728,14569,12626853,14569,12829724,29834,3.064637088062066
namd,64bits,1103192824,6710694,6713827,6711491,1103192365,11447468,28.264322038704464
omnetpp,32bits,70,21,55,21,69,3,8.55072463768116
omnetpp,64bits,73108439,203470,73108397,203506,73107367,3312133,9.906754499857723
parest,32bits,1784670,26814,675117,26814,1784656,1139793,0.9728418249791556
parest,64bits,19195481,4959703,5227115,4971736,19195394,3500769,23.32040873972162
perlbench,32bits,10686177,970526,8841119,970526,10686173,644520,8.767973436327486
perlbench,64bits,6894,1293,6894,1293,6886,516,5.099331977926227
pop2,32bits,646558086,154395450,635297708,154797406,646554825,208286681,2.3316125125197233
pop2,64bits,318795464,178682596,180787210,200080272,318794201,246826777,4.815066620361767
povray,32bits,976390,459263,564914,710874,976277,335534,7.831765984449086
povray,64bits,36417306,4131425,13853200,5106709,36417036,1367030,24.47249163825414
roms,32bits,951206,92283,936107,92283,951146,510043,2.407998351462341
roms,64bits,1797046454,311735675,325542742,340341425,1796996287,1282708572,4.3794904552298615
wrf,32bits,4446681119,1379336561,1455797330,1436193729,4446523649,1445343649,7.999627667559944
wrf,64bits,1368723,431262,454752,431447,1368717,530880,12.74211688756697
x264,32bits,42378420,5676259,11896544,5676501,42376702,10512301,8.152743410754335
xalancbmk,64bits,447619,194365,447619,194365,447568,183141,4.78461373467272
xz,32bits,230562997,38759509,230562997,38759509,230562991,79697765,4.970973385750361
xz,64bits,50610078,9712884,9769883,9714924,50610064,10101725,19.74247550842852
