bench,total_stores,total_buffers,top_for_50pct,top_for_80pct,top_for_90pct,top_for_95pct,top_for_99pct
wrf,4493834781,158293,341,5795,25622,62204,130595
x264,2695666279,2205,1,3,10,48,170
cam4,1859952709,124506,259,10665,21203,31142,102105
roms,1798009772,50229,753,5240,16063,28834,45826
xz,1471889626,29,2,4,8,11,17
bwaves,1306491212,144,10,26,41,54,81
namd,1195729120,10975,3,198,273,790,5236
pop2,1037644259,5998,20,185,489,1364,3327
mcf,567857414,30,2,6,9,12,18
lbm,556200629,3,2,2,2,2,2
fotonik,378831811,2795,5,10,14,28,49
cactus,312536979,218,30,102,134,152,166
deepsjeng,223975970,1,1,1,1,1,1
omnetpp,91358428,1098,1,2,188,414,728
leela,72837195,1114,130,214,243,257,558
povray,38620080,524,2,4,5,6,13
blender,35489362,3501,149,1529,2297,2680,3078
parest,20980151,101,1,7,14,21,37
perlbench,18719907,68860,1,2,21413,36685,55358
imagick,3166772,31,2,3,3,3,12
xalancbmk,735997,85,5,13,25,44,71
gcc,270895,96,9,16,20,26,43
exchange2,12578,12,3,7,9,10,11
nab,3591,7,2,4,5,6,6
