bench,alloc_type,total,pct_fp8_e4m3,pct_fp8_e5m2,pct_bf16,pct_fp16,pct_fp32
blender,32bits,26794399,0.47231803930366195,0.47231803930366195,0.472319494831737,0.4723291237097723,
blender,64bits,3357625,0.010080339525706415,0.010074382934365808,0.010082722162242657,0.010082722162242657,0.01017445366888798
bwaves,32bits,12226,0.754294127269753,0.754294127269753,0.754294127269753,0.754294127269753,
bwaves,64bits,1306476514,0.5469171763465777,0.5469168663524862,0.5469181499576501,0.546918846487584,0.5614305057457772
cactus,32bits,323,0.19504643962848298,0.19504643962848298,0.19504643962848298,0.19504643962848298,
cactus,64bits,312498020,0.331679691922528,0.3315188173032264,0.33302603645296697,0.3331793206241755,0.3335786959546176
cam4,32bits,115718790,0.09121308648318911,0.0909854657139087,0.09456414122546564,0.09489047543618456,
cam4,64bits,1688065555,0.12429386428656794,0.12421743419792722,0.12516688133003223,0.12544062840024006,0.1356706375067288
exchange2,32bits,11178,0.6407228484523171,0.6407228484523171,0.6407228484523171,0.6407228484523171,
exchange2,64bits,32,0.5,0.5,0.5,0.5,0.5
fotonik,32bits,22002158,0.4566288906751783,0.4566288906751783,0.4566288906751783,0.4566288906751783,
fotonik,64bits,295842288,0.9929970795791033,0.9929843633442965,0.9930092482248515,0.993010363684045,0.9931093826586415
gcc,32bits,2157,0.5350023180343069,0.5350023180343069,0.5350023180343069,0.5350023180343069,
gcc,64bits,12425,0.7096981891348089,0.7096981891348089,0.7096981891348089,0.7096981891348089,0.7096981891348089
imagick,32bits,1087,0.9889604415823368,0.9889604415823368,0.9889604415823368,0.9889604415823368,
imagick,64bits,1075203,0.0,0.0,0.0,0.0,0.0
lbm,64bits,556200048,0.0048184102278250795,0.0048184102278250795,0.0048184102278250795,0.0048184102278250795,0.0048184102278250795
leela,32bits,889572,0.5597871785532818,0.5489122859082795,0.609390808163926,0.6441974342717621,
leela,64bits,937142,0.40520753525079445,0.40520753525079445,0.40520753525079445,0.40520753525079445,0.40735022013739647
mcf,32bits,10973422,0.09322461124706587,0.09322406447141102,0.09326069844028599,0.09355595729390521,
mcf,64bits,556881961,0.1356305865328613,0.1356305865328613,0.1356305865328613,0.1356305865328613,0.1356305865328613
nab,32bits,2958,0.23732251521298176,0.23732251521298176,0.23732251521298176,0.2376605814739689,
nab,64bits,7,0.0,0.0,0.0,0.0,0.0
namd,32bits,12829728,0.001135565773491067,0.001135565773491067,0.0011388394204460142,0.0012191217148173367,
namd,64bits,1103192824,0.006084490266771351,0.006084278155166825,0.00608743807419835,0.006089074234224714,0.010412405474457655
omnetpp,32bits,70,0.3,0.3,0.3,0.3142857142857143,
omnetpp,64bits,73108439,0.0027836458113953163,0.002783632133083843,0.0027836868463297377,0.002783700524641211,0.002783727881264159
parest,32bits,1784670,0.015024626401519608,0.015024626401519608,0.015024626401519608,0.015024626401519608,
parest,64bits,19195481,0.2591264058452091,0.25910186882006236,0.2592021528400356,0.25924148501410305,0.2914238512699942
perlbench,32bits,10686177,0.13622972930356667,0.13622972930356667,0.1362303843554154,0.1362316008802774,
perlbench,64bits,6894,0.1875543951261967,0.1875543951261967,0.1875543951261967,0.1875543951261967,0.1875543951261967
pop2,32bits,646558086,0.23962770454006818,0.23941763215377992,0.23964181309457785,0.23975435673385112,
pop2,64bits,318795464,0.6310083383118651,0.6298449936539875,0.6640004388519154,0.6787214074037139,0.7991822869851122
povray,32bits,976390,0.7281639508802835,0.7281578057948156,0.7282049181167362,0.7284005366707975,
povray,64bits,36417306,0.15702127993762086,0.15554313655161642,0.1894202443201043,0.1894202443201043,0.27167945921095865
roms,32bits,951206,0.09701683967510719,0.09701683967510719,0.09701683967510719,0.09701683967510719,
roms,64bits,1797046454,0.19525615557626536,0.19417452187910997,0.2005943893089811,0.20201892510453712,0.2165896040882202
wrf,32bits,4446681119,0.32312633929619994,0.3230504343704885,0.32629906399186526,0.32967240730085734,
wrf,64bits,1368723,0.31521863810281553,0.31521863810281553,0.31521863810281553,0.31522740539904714,0.3184486561561397
x264,32bits,42378420,0.13400933777144122,0.13397764711379045,0.14991755237689372,0.1499207615574153,
xalancbmk,64bits,447619,0.43421972704465184,0.43421972704465184,0.43421972704465184,0.43421972704465184,0.43421972704465184
xz,32bits,230562997,0.16810858856072208,0.16810828929327284,0.16811939254936037,0.16820382934213854,
xz,64bits,50610078,0.19197243679411044,0.19196437515863934,0.19198049842958156,0.1919845292473171,0.19222983612078212
