bench,alloc_type,blocks,viable_blocks,viable_frac,mean_spread,median_spread,max_spread
blender,32bits,17352669,17352669,1.0,,,0
blender,64bits,2288696,2288696,1.0,,,0
bwaves,32bits,3713,3713,1.0,,,0
bwaves,64bits,87359721,87359721,1.0,,,0
cactus,32bits,323,323,1.0,,,0
cactus,64bits,12817238,12817238,1.0,,,0
cam4,32bits,20726917,20726917,1.0,,,0
cam4,64bits,603734714,603734714,1.0,,,0
exchange2,32bits,4749,4749,1.0,,,0
exchange2,64bits,16,16,1.0,,,
fotonik,32bits,21770256,21770256,1.0,,,0
fotonik,64bits,62814114,62814114,1.0,,,0
gcc,32bits,986,986,1.0,,,0
gcc,64bits,10849,10849,1.0,,,
imagick,32bits,1070,1070,1.0,,,0
imagick,64bits,4323,4323,1.0,,,
lbm,64bits,53600000,53600000,1.0,,,0
leela,32bits,436011,436011,1.0,,,0
leela,64bits,161930,161930,1.0,,,
mcf,32bits,155632,155632,1.0,,,0
mcf,64bits,77185840,77185840,1.0,,,
nab,32bits,1924,1924,1.0,,,0
nab,64bits,7,7,1.0,,,
namd,32bits,384594,384594,1.0,,,0
namd,64bits,4791607,4791607,1.0,,,0
omnetpp,32bits,7,7,1.0,,,
omnetpp,64bits,14003914,14003914,1.0,,,0
parest,32bits,1154473,1154473,1.0,,,0
parest,64bits,762775,762775,1.0,,,0
perlbench,32bits,1274,1274,1.0,,,0
perlbench,64bits,4836,4836,1.0,,,
pop2,32bits,163993863,163993863,1.0,,,0
pop2,64bits,187794574,187794574,1.0,,,0
povray,32bits,112319,112319,1.0,,,0
povray,64bits,29341,29341,1.0,,,0
roms,32bits,100355,100355,1.0,,,0
roms,64bits,279698274,279698274,1.0,,,0
wrf,32bits,865689058,865689058,1.0,,,0
wrf,64bits,33411,33411,1.0,,,0
x264,32bits,9616313,9616313,1.0,,,0
xalancbmk,64bits,128867,128867,1.0,,,
xz,32bits,21655588,21655588,1.0,,,
xz,64bits,5050397,5050397,1.0,,,0
