bench,alloc_type,total,frac_zero,frac_denormal,frac_inf_nan,min_exp,max_exp,mean_exp,frac_in_e4m3_range,frac_in_e5m2_range
blender,32bits,26794399,0.39921597047203783,0.013595527931042604,0.17541591434836812,-117,125,5.396857611287533,0.31227224017974803,0.3147716058120953
blender,64bits,3357625,0.009437325490488068,0.051159078217490044,2.9782956703026693e-05,-1022,1023,-23.109116647881386,0.4637551840959011,0.46704590298201853
bwaves,32bits,12226,0.754294127269753,0.13724848683134305,0.011287420251922134,-118,-71,-103.5993265993266,0.0,0.0
bwaves,64bits,1306476514,0.4588856298414868,0.08139445130507719,0.0,-437,11,-55.96397101458015,0.13665929856891404,0.15036395441854838
cactus,32bits,323,0.19504643962848298,0.5510835913312694,0.0,-118,-118,-118.0,0.0,0.0
cactus,64bits,312498020,0.32647668935630375,0.002012604751863708,0.0,-857,759,-4.392073800526431,0.6350886959219774,0.6581506468424984
cam4,32bits,115718790,0.08673808289906937,0.14187828960188748,0.08092806708400598,-126,127,-0.7384698911554011,0.04936933751208425,0.08734749127604946
cam4,64bits,1688065555,0.1144780369622553,0.0025195804673592784,0.00017981410680463768,-1022,1023,34.771188812055414,0.4623267418071332,0.6561044804921691
exchange2,32bits,11178,0.6407228484523171,0.19574163535516192,0.003041689032027196,-118,-118,-118.0,0.0,0.0
exchange2,64bits,32,0.5,0.5,0.0,,,,0.0,0.0
fotonik,32bits,22002158,0.4566288906751783,0.540508844632422,0.00024752117496838267,-118,-105,-106.60747436120285,0.0,0.0
fotonik,64bits,295842288,0.9929204475325042,5.4082869991865394e-08,0.0,-209,36,6.17664455229742,4.9746099854392686e-05,6.54504132282806e-05
gcc,32bits,2157,0.5350023180343069,0.08344923504867872,0.008344923504867872,-118,-118,-118.0,0.0,0.0
gcc,64bits,12425,0.7096981891348089,0.29030181086519113,0.0,,,,0.0,0.0
imagick,32bits,1087,0.9889604415823368,0.005519779208831647,0.0009199632014719411,-118,41,-70.6,0.0,0.0
imagick,64bits,1075203,0.0,1.0,0.0,,,,0.0,0.0
lbm,64bits,556200048,0.0048184102278250795,0.001798000563998513,0.0,-6,-2,-5.473684210526316,0.9933835892081764,0.9933835892081764
leela,32bits,889572,0.5040941036813209,0.1782857374107998,0.00018098591232637717,-126,127,5.74228446978416,0.12600553974270773,0.17743926292644102
leela,64bits,937142,0.40520753525079445,0.5947924647492056,0.0,,,,0.0,0.0
mcf,32bits,10973422,0.09322205962734323,0.1748203067374972,0.03724025194693141,-126,127,13.110439701199999,0.0,0.0
mcf,64bits,556881961,0.1356305865328613,0.7178357246159748,0.1465336888511639,,,,0.0,0.0
nab,32bits,2958,0.22853279242731575,0.7072346179851251,0.0,-119,126,-28.205263157894738,0.0023664638269100743,0.0030425963488843813
nab,64bits,7,0.0,1.0,0.0,,,,0.0,0.0
namd,32bits,12829728,0.001135565773491067,0.9830515502744875,0.007188305161262966,-118,-97,-115.64685362084391,0.0,0.0
namd,64bits,1103192824,0.006082974665904825,2.8399387050400175e-06,9.427182423369353e-08,-1022,72,1.2560165642878454,0.9810559382318825,0.9892647262179798
omnetpp,32bits,70,0.3,0.4857142857142857,0.014285714285714285,-113,108,-22.785714285714285,0.014285714285714285,0.04285714285714286
omnetpp,64bits,73108439,0.002783126035559315,0.9972162994753588,0.0,0,10,1.3333333333333333,5.334541474753687e-07,5.74489081896551e-07
parest,32bits,1784670,0.015024626401519608,0.36326211568525274,0.6215490819030969,-126,-118,-125.0716723549488,0.0,0.0
parest,64bits,19195481,0.25837867777316964,0.013930987194329749,0.0,-198,0,-30.51716220780584,0.07304292088330581,0.3769232977282518
perlbench,32bits,10686177,0.09082069293817611,0.73652092792399,0.030092520458906865,-126,-118,-118.00002625560886,0.0,0.0
perlbench,64bits,6894,0.1875543951261967,0.8124456048738034,0.0,,,,0.0,0.0
pop2,32bits,646558086,0.23879594632430287,0.743788173735716,0.006990256711444175,-126,127,5.170803161834158,0.005542985352131224,0.005797497674478082
pop2,64bits,318795464,0.5604929058840059,0.0066017689636888935,4.4254080101967824e-05,-1022,1023,3.825610964685415,0.28028865555000493,0.3387125514433292
povray,32bits,976390,0.4703683978738004,0.1082057374614652,0.005377973965321235,-126,127,-39.374553510985294,0.19656284886162292,0.20068108030602524
povray,64bits,36417306,0.11344674974035696,0.2669548098917586,0.0,-511,769,7.419997229227695,0.5204609863233706,0.5348694381731587
roms,32bits,951206,0.09701683967510719,0.8871096271470112,0.0006970099011150056,-118,-107,-116.72492380160709,0.0,0.0
roms,64bits,1797046454,0.1734711277530503,0.007683199824504926,0.0,-271,61,-6.793459481262933,0.32218248488305357,0.550644250067895
wrf,32bits,4446681119,0.3101946202317729,0.017195019600864704,1.7424231224708155e-06,-126,99,-2.926546290789589,0.3783591737242357,0.5387834827559623
wrf,64bits,1368723,0.3150834756192451,0.017161982373350926,0.00027543922327600255,-1022,1023,-64.84717500333846,0.01076697038042029,0.02240774795192307
x264,32bits,42378420,0.1339422045465593,0.14677954015274755,0.04221509438058332,-126,127,19.125348575309676,0.05248975775878383,0.06847881539708181
xalancbmk,64bits,447619,0.43421972704465184,0.5657802729553482,0.0,,,,0.0,0.0
xz,32bits,230562997,0.16810810713047766,0.8318918928695224,0.0,,,,0.0,0.0
xz,64bits,50610078,0.19191600534581274,0.0011262381377874977,0.0002742931951221257,-1022,1023,199.6964548329407,0.002047339267092218,0.00438527283044298
