bench,site,stores,pct_of_bench,buffers,mean_alloc_size,mean_trailing_z
blender,zbuffer_solid,12165315,34.27876500005833,2430,18030.88116337308,14.405724718184445
blender,render_result_new,7587314,21.379122002813126,136,1196126.3728565867,4.435973652863187
blender,zbufshadeDA_tile,4123532,11.619064890487465,540,18347.708941751876,14.216068166804574
blender,do_display_buffer_apply_thread,2592009,7.303622420713001,9,954375.8862226172,12.64519606220503
blender,_IO_file_doallocate,2082652,5.868383883598696,2,4096.0,0.0
blender,IMB_colormanagement_imbuf_for_write,2073601,5.842880466546567,1,8294408.0,10.737653965251752
blender,imb_addrectImBuf,2073601,5.842880466546567,1,2073608.0,0.0
blender,render_layer_add_pass,1431139,4.0325858774243395,136,1134909.3021712077,0.05492967489531066
blender,addpsmain,968821,2.72989128404168,145,131080.0,15.5753508646076
blender,get_bhead,97815,0.27561780344205683,16,47943.27225885601,48.14277170699019
blender,DNA_sdna_from_data,76119,0.21448399100553006,20,62137.753990462305,1.2216529381626138
blender,bgnwrite,65362,0.18417349965322002,1,100008.0,0.0
blender,add_memfilechunk,46342,0.13057997492318965,11,55789.05597514134,11.942190669371197
blender,BLI_mempool_create,41670,0.11741546664039776,18,8200.0,2.2786657067434604
blender,read_struct,16868,0.047529735812100536,9,33390.42447237373,5.864411862875318
bwaves,shell_,1006569992,77.04376292429282,48,21633291.1469865,31.36657383980507
bwaves,bi_cgstab_block_,284919476,21.807990240044568,102,4997161.516563003,23.291301307882513
bwaves,flux_,14991600,1.147470404875559,120,999440.0,19.962040676111958
bwaves,MAIN__,8410,0.0006437088839752563,14,4558.976456599286,16.655172413793103
bwaves,???,1670,0.00012782328611637075,2,8192.0,0.0
bwaves,register_printf_specifier,64,4.898616952962712e-06,2,4096.0,29.6875
cactus,PUGH_EnableGArrayDataStorage,312498000,99.98752819582351,173,592711.0,18.222821208455734
cactus,_IO_file_doallocate,38636,0.012362057163162124,23,4096.0,0.0
cactus,CCTKi_SetupGroup,323,0.00010334777056893482,19,5152.0,6.145510835913313
cactus,IOBasic_SetupGH,10,3.199621379843183e-06,1,5440.0,22.0
cactus,ParseFile,8,2.5596971038745467e-06,1,4153.0,9.0
cactus,???,2,6.399242759686367e-07,1,72704.0,31.0
cam4,cd_core_,228955584,12.309752978778558,72,321319.37755780615,4.219609428700372
cam4,__dyn_comp_MOD_dyn_run,214113888,11.511792045246027,102,3099660.1917059766,4.193816414187949
cam4,__sw_core_MOD_c_sw,171904702,9.242423270666071,5304,113335.30738546058,1.5553821325957682
cam4,__phys_buffer_MOD_pbuf_allocate,163698875,8.801238558802519,114,3031371.0883357995,21.893549665506253
cam4,__tp_core_MOD_tp2d,122973123,6.611626328183164,5382,140609.5308070854,1.3407976147763605
cam4,__sw_core_MOD_d_sw,115503078,6.210000794165353,4368,115582.31772420819,5.184462149138571
cam4,__physics_types_MOD_physics_type_alloc,112450347,6.045871298548161,2,61108062.1218898,5.352277134369358
