bench,alloc_type,buffers,mean_gini,median_gini,min_gini,max_gini,write_weighted_gini
blender,32bits,3121,0.021507288383730706,0.0,0.0,0.4594885832339818,0.06521442111132583
blender,64bits,97,0.044034477387190095,0.0,0.0,0.5439606489750136,0.0033224389956142027
blender,object,67,0.25864246644534344,0.4014804527169367,0.0,0.552559190490225,0.0817080482939473
bwaves,32bits,7,0.346290680506565,0.267380703142952,0.23101264124104243,0.5427958714918645,0.37480213238930177
bwaves,64bits,134,0.0034538371435173906,0.0,0.0,0.13333333333333333,0.0029377493798168675
bwaves,object,3,0.0,0.0,0.0,0.0,0.0
cactus,32bits,19,0.0,0.0,0.0,0.0,0.0
cactus,64bits,176,0.04016583908934041,0.0,0.0,0.17757468020169406,0.09308215132186354
cactus,object,23,0.011745992489821456,0.0,0.0,0.2701578272658935,0.05086960848326367
cam4,32bits,1027,0.06071535891430352,0.0,0.0,0.9618042215729404,0.369459176303976
cam4,64bits,123449,0.02104468619086244,0.0,0.0,0.7731543624161074,0.07427649714261332
cam4,object,30,0.07193038357880237,0.0,0.0,0.5016925357342753,0.08906590865149958
deepsjeng,object,1,0.11769161714123927,0.11769161714123927,0.11769161714123927,0.11769161714123927,0.11769161714123928
exchange2,32bits,9,0.4074937990948561,0.36813306621966013,0.03441682600382409,0.8376537448983856,0.5651114219012994
exchange2,64bits,1,0.0,0.0,0.0,0.0,0.0
exchange2,object,2,0.0,0.0,0.0,0.0,0.0
fotonik,32bits,2721,0.09726237045639646,0.09630058857232147,0.0,0.9815683760274825,0.010285668110264275
fotonik,64bits,68,0.06347017359470311,0.026778029264560552,0.0,0.17221625395903248,0.028042216400424688
fotonik,object,6,0.06323172266176795,0.0,0.0,0.21272272070114026,0.00021298979638272828
gcc,32bits,28,0.26424004657571953,0.23954703832752614,0.23088455772113944,0.4448024549290372,0.3060856069698785
gcc,64bits,27,0.09795591528074564,0.000973707982693862,0.0,0.39578713968957874,0.07298470245716092
gcc,object,38,0.24282715438737393,0.21362892597356442,0.0,0.8556952585922087,0.2795754910055521
imagick,32bits,1,0.015504389170227584,0.015504389170227584,0.015504389170227584,0.015504389170227584,0.015504389170227584
imagick,64bits,3,0.008736862795634256,0.0009885021055257431,0.0006766017163154299,0.024545484565061594,0.02284609464411069
imagick,object,27,0.10657092034529078,0.0327581054833408,0.0,0.6350885826771654,0.09474017533503303
lbm,64bits,2,0.07492322870405299,0.07492322870405299,0.07492322870405299,0.07492322870405299,0.07492322870405299
lbm,object,1,0.0,0.0,0.0,0.0,0.0
leela,32bits,236,0.0021649803595976277,0.0,0.0,0.5109353648650401,0.5021620022835812
leela,64bits,370,0.06332428204248704,0.058806011981922014,0.0,0.10383159521050599,0.06381158334092733
leela,object,508,0.020303875622125826,0.012873673050901837,0.012873673050901837,0.3800998728468937,0.015821060560218744
mcf,32bits,1,0.7850551627170165,0.7850551627170165,0.7850551627170165,0.7850551627170165,0.7850551627170164
mcf,64bits,27,0.22586866566636116,0.18948408561922578,0.0,0.7617814183566037,0.42224213209593425
mcf,object,2,0.0,0.0,0.0,0.0,0.0
nab,32bits,5,0.0719047619047619,0.0,0.0,0.3595238095238095,0.13126629962329758
nab,64bits,1,0.0,0.0,0.0,0.0,0.0
nab,object,1,0.43171299752172226,0.43171299752172226,0.43171299752172226,0.43171299752172226,0.4317129975217223
namd,32bits,4,0.4704854062771614,0.48473632620087903,0.0,0.9124689727068876,0.8702432889128732
namd,64bits,459,0.24768828697346434,0.3769502346473873,0.0,0.7637027287217251,0.4535232838609866
namd,object,10512,0.003874276438692879,0.0001472024757638961,0.0,0.26373626373626374,0.00404930016639859
omnetpp,32bits,1,0.5755102040816327,0.5755102040816327,0.5755102040816327,0.5755102040816327,0.5755102040816327
omnetpp,64bits,1072,0.007023189674830406,0.0019807777635134837,0.0,0.942403876071615,0.7613638363192194
omnetpp,object,25,0.33937424122985044,0.36764705882352944,0.0,0.7462344399334586,0.0035891597173415184
parest,32bits,14,0.026012840647606443,0.0,0.0,0.22035582780036378,0.06514699407225019
parest,64bits,87,0.07150877531208853,0.0,0.0,0.6046121954495797,0.05987701397179543
perlbench,32bits,4,0.5540264460054356,0.47745096274084176,0.30031881976853514,0.9608850387715238,0.9577917394687918
perlbench,64bits,6,0.15489946756155984,0.0,0.0,0.6359572597397865,0.2518325347744954
perlbench,object,68848,0.058510454907607,0.03243275562941149,0.0,0.9725186571183628,0.5814107584914628
pop2,32bits,3261,0.07375036148775375,0.008402143995364335,0.0,0.9580819411226528,0.007715156237286862
pop2,64bits,1263,0.02175335559237353,0.0,0.0,0.5962423905318129,0.027975199281316948
pop2,object,1474,0.0013130794362785534,0.0,0.0,0.4436007017347557,0.0019297151571873118
povray,32bits,113,0.0875934359193081,0.05594517973271102,0.017946515172509354,0.7256349552468174,0.5403241245938171
povray,64bits,153,0.04856213181484512,0.0,0.0,0.9508936131431067,0.8438169496876795
povray,object,141,0.010965344996629165,0.0,0.0,0.3521594684385382,0.10129867037424618
roms,32bits,60,0.39847750894388695,0.36386983882613266,0.0,0.9736983125627744,0.11123729825147528
roms,64bits,50167,0.006586266513438053,0.0,0.0,0.4990444501322413,0.0595374585806864
roms,object,2,0.08483189395210346,0.08483189395210346,0.0,0.16966378790420691,0.1603485287433501
wrf,32bits,157470,0.03710522138664984,0.0,0.0,0.7659397896814851,0.11218485390325156
wrf,64bits,6,0.07433226506947947,0.0,0.0,0.44599359041687686,0.34027595399602945
wrf,object,817,0.013562455033975998,0.014918414918414918,0.0,0.3212331173279638,0.24421774265650137
x264,32bits,1718,0.01320872484835491,0.0,0.0,0.4907829443487351,0.0111237104038064
x264,object,487,0.13101426513110193,0.0004075514093085304,0.0,0.9772993484748922,0.7178474415453067
xalancbmk,64bits,51,0.24193371370136474,0.25660571616835515,0.0,0.4711987925830099,0.24014568726272342
xalancbmk,object,34,0.18927430543255583,0.12761065760391466,0.029372723420369302,0.6559944457197348,0.42363956566193445
xz,32bits,7,0.7974308864990579,0.6047132201161298,0.5335620918343901,1.9679508460757553,0.7823288686955816
xz,64bits,15,6284.091522124726,4.9623369704931974e-05,0.0,64758.88,0.32847473687577095
xz,object,16,714.3031552408493,0.8732767383460406,1.6110746560717265e-07,11398.424123057808,1.1603873204697621
