bench,alloc_type,block_size,blocks,viable_spread4,viable_spread8,mean_spread
blender,32bits,8,17352669,1.0,1.0,
blender,32bits,16,17352669,1.0,1.0,
blender,32bits,32,17352669,1.0,1.0,
blender,32bits,64,17352669,1.0,1.0,
blender,32bits,128,17352669,1.0,1.0,
blender,64bits,8,2288696,1.0,1.0,
blender,64bits,16,2288696,1.0,1.0,
blender,64bits,32,2288696,1.0,1.0,
blender,64bits,64,2288696,1.0,1.0,
blender,64bits,128,2288696,1.0,1.0,
bwaves,32bits,8,3713,1.0,1.0,
bwaves,32bits,16,3713,1.0,1.0,
bwaves,32bits,32,3713,1.0,1.0,
bwaves,32bits,64,3713,1.0,1.0,
bwaves,32bits,128,3713,1.0,1.0,
bwaves,64bits,8,87359721,1.0,1.0,
bwaves,64bits,16,87359721,1.0,1.0,
bwaves,64bits,32,87359721,1.0,1.0,
bwaves,64bits,64,87359721,1.0,1.0,
bwaves,64bits,128,87359721,1.0,1.0,
cactus,32bits,8,323,1.0,1.0,
cactus,32bits,16,323,1.0,1.0,
cactus,32bits,32,323,1.0,1.0,
cactus,32bits,64,323,1.0,1.0,
cactus,32bits,128,323,1.0,1.0,
cactus,64bits,8,12817238,1.0,1.0,
cactus,64bits,16,12817238,1.0,1.0,
cactus,64bits,32,12817238,1.0,1.0,
cactus,64bits,64,12817238,1.0,1.0,
cactus,64bits,128,12817238,1.0,1.0,
cam4,32bits,8,20726917,1.0,1.0,
cam4,32bits,16,20726917,1.0,1.0,
cam4,32bits,32,20726917,1.0,1.0,
cam4,32bits,64,20726917,1.0,1.0,
cam4,32bits,128,20726917,1.0,1.0,
cam4,64bits,8,603734714,1.0,1.0,
cam4,64bits,16,603734714,1.0,1.0,
cam4,64bits,32,603734714,1.0,1.0,
cam4,64bits,64,603734714,1.0,1.0,
cam4,64bits,128,603734714,1.0,1.0,
exchange2,32bits,8,4749,1.0,1.0,
exchange2,32bits,16,4749,1.0,1.0,
exchange2,32bits,32,4749,1.0,1.0,
exchange2,32bits,64,4749,1.0,1.0,
exchange2,32bits,128,4749,1.0,1.0,
exchange2,64bits,8,16,1.0,1.0,
exchange2,64bits,16,16,1.0,1.0,
exchange2,64bits,32,16,1.0,1.0,
exchange2,64bits,64,16,1.0,1.0,
exchange2,64bits,128,16,1.0,1.0,
fotonik,32bits,8,21770256,1.0,1.0,
fotonik,32bits,16,21770256,1.0,1.0,
fotonik,32bits,32,21770256,1.0,1.0,
fotonik,32bits,64,21770256,1.0,1.0,
fotonik,32bits,128,21770256,1.0,1.0,
fotonik,64bits,8,62814114,1.0,1.0,
fotonik,64bits,16,62814114,1.0,1.0,
fotonik,64bits,32,62814114,1.0,1.0,
fotonik,64bits,64,62814114,1.0,1.0,
fotonik,64bits,128,62814114,1.0,1.0,
gcc,32bits,8,986,1.0,1.0,
gcc,32bits,16,986,1.0,1.0,
gcc,32bits,32,986,1.0,1.0,
gcc,32bits,64,986,1.0,1.0,
gcc,32bits,128,986,1.0,1.0,
gcc,64bits,8,10849,1.0,1.0,
gcc,64bits,16,10849,1.0,1.0,
gcc,64bits,32,10849,1.0,1.0,
gcc,64bits,64,10849,1.0,1.0,
gcc,64bits,128,10849,1.0,1.0,
imagick,32bits,8,1070,1.0,1.0,
imagick,32bits,16,1070,1.0,1.0,
imagick,32bits,32,1070,1.0,1.0,
imagick,32bits,64,1070,1.0,1.0,
imagick,32bits,128,1070,1.0,1.0,
imagick,64bits,8,4323,1.0,1.0,
imagick,64bits,16,4323,1.0,1.0,
imagick,64bits,32,4323,1.0,1.0,
imagick,64bits,64,4323,1.0,1.0,
imagick,64bits,128,4323,1.0,1.0,
lbm,64bits,8,53600000,1.0,1.0,
lbm,64bits,16,53600000,1.0,1.0,
lbm,64bits,32,53600000,1.0,1.0,
lbm,64bits,64,53600000,1.0,1.0,
lbm,64bits,128,53600000,1.0,1.0,
leela,32bits,8,436011,1.0,1.0,
leela,32bits,16,436011,1.0,1.0,
leela,32bits,32,436011,1.0,1.0,
leela,32bits,64,436011,1.0,1.0,
leela,32bits,128,436011,1.0,1.0,
leela,64bits,8,161930,1.0,1.0,
leela,64bits,16,161930,1.0,1.0,
leela,64bits,32,161930,1.0,1.0,
leela,64bits,64,161930,1.0,1.0,
leela,64bits,128,161930,1.0,1.0,
mcf,32bits,8,155632,1.0,1.0,
mcf,32bits,16,155632,1.0,1.0,
mcf,32bits,32,155632,1.0,1.0,
mcf,32bits,64,155632,1.0,1.0,
mcf,32bits,128,155632,1.0,1.0,
mcf,64bits,8,77185840,1.0,1.0,
mcf,64bits,16,77185840,1.0,1.0,
mcf,64bits,32,77185840,1.0,1.0,
mcf,64bits,64,77185840,1.0,1.0,
mcf,64bits,128,77185840,1.0,1.0,
nab,32bits,8,1924,1.0,1.0,
nab,32bits,16,1924,1.0,1.0,
nab,32bits,32,1924,1.0,1.0,
nab,32bits,64,1924,1.0,1.0,
nab,32bits,128,1924,1.0,1.0,
nab,64bits,8,7,1.0,1.0,
nab,64bits,16,7,1.0,1.0,
nab,64bits,32,7,1.0,1.0,
nab,64bits,64,7,1.0,1.0,
nab,64bits,128,7,1.0,1.0,
namd,32bits,8,384594,1.0,1.0,
namd,32bits,16,384594,1.0,1.0,
namd,32bits,32,384594,1.0,1.0,
namd,32bits,64,384594,1.0,1.0,
namd,32bits,128,384594,1.0,1.0,
namd,64bits,8,4791607,1.0,1.0,
namd,64bits,16,4791607,1.0,1.0,
namd,64bits,32,4791607,1.0,1.0,
namd,64bits,64,4791607,1.0,1.0,
namd,64bits,128,4791607,1.0,1.0,
omnetpp,32bits,8,7,1.0,1.0,
