bench,alloc_type,pairs,bit_identical,delta_le_8b,delta_le_16b,mean_hamming,mean_log_delta
blender,32bits,17349548,15044459,15739518,17331795,1.1797975370885743,4.162507346012703
blender,64bits,2288383,29842,1048566,2150514,7.736255687968317,53.82711154557607
bwaves,32bits,3706,3365,3538,3648,0.9338909875876956,1.6138694009713976
bwaves,64bits,87359587,25571310,26549927,27988615,20.605364228656438,41.85594704105
cactus,32bits,304,42,213,300,6.375,11.865131578947368
cactus,64bits,12817062,3572785,3877400,4045941,19.063110407049603,37.507567959022126
cam4,32bits,20725890,7332383,12476801,17426945,7.086484826465836,19.92941244018954
cam4,64bits,603611265,84202860,90610420,112791531,21.699989651452245,42.56250288337478
exchange2,32bits,4740,4441,4597,4717,0.5759493670886076,1.0968354430379748
exchange2,64bits,15,15,15,15,0.0,0.0
fotonik,32bits,21767535,20440411,21738061,21762048,0.15683075736412047,0.27416149784530036
fotonik,64bits,62814046,62447978,62475044,62502158,0.14479885597562048,0.31058188800638636
gcc,32bits,958,315,532,946,6.246346555323591,13.16179540709812
gcc,64bits,10819,7051,9113,10737,2.7526573620482484,6.097698493391256
imagick,32bits,1069,1057,1066,1067,0.09635173058933583,0.1637043966323667
imagick,64bits,4320,1902,2178,3557,8.245833333333334,25.625
lbm,64bits,53599998,33070097,39851949,40439171,7.35062658024726,16.06929698019765
leela,32bits,435775,354439,392699,418135,1.7170925362859273,6.506678905398428
leela,64bits,161560,25232,60311,159191,8.445543451349344,18.860243872245604
mcf,32bits,155631,19245,64677,127607,10.773149308299761,21.597419537238725
mcf,64bits,77185813,2508333,51732003,70817583,8.15626721454628,13.866065620115966
nab,32bits,1919,287,1687,1839,3.5096404377279833,9.396039603960396
nab,64bits,6,0,6,6,4.833333333333333,13.0
namd,32bits,384590,29829,201970,368941,7.751478197561039,14.83521152396058
namd,64bits,4791148,1937270,1943746,1949188,17.130726289398698,34.57552490551325
omnetpp,32bits,6,1,4,4,11.333333333333334,26.666666666666668
omnetpp,64bits,14002842,173182,12937236,13998821,5.0128763146795485,11.902449588447832
parest,32bits,1154459,506008,1137804,1148027,1.6652969053036963,1.828672131275342
parest,64bits,762688,349154,458674,571105,8.659881891415624,29.600165467399513
perlbench,32bits,1270,119,529,1242,8.984251968503937,18.858267716535433
perlbench,64bits,4828,210,4169,4824,4.204018227009113,6.533761391880696
pop2,32bits,163990602,104283669,153511380,161930143,1.7900587620258872,3.0999339828022583
pop2,64bits,187793311,131841322,140651598,153745079,6.163163724186108,16.304848786653537
povray,32bits,112206,108746,109513,111203,0.3901039160116215,1.0834447355756376
povray,64bits,29071,21513,22439,23020,6.011867496818135,12.842213890131058
roms,32bits,100295,96319,98250,99882,0.37026771025474847,0.6650780198414676
roms,64bits,279648107,192893695,218162256,253764149,4.013748396301499,7.1460559573893345
wrf,32bits,865531588,344017632,488393653,827106966,6.522894332540524,11.7967492146572
wrf,64bits,33405,25990,26088,26581,3.9647058823529413,7.92408322107469
x264,32bits,9614595,951266,3894153,8326530,9.894191799030537,46.21980343425802
xalancbmk,64bits,128816,49673,80892,119565,5.612276425288784,11.082233573469134
xz,32bits,21655581,7165382,12317885,21362345,6.170128984302014,12.079587151229052
xz,64bits,5050384,806673,833449,1082105,21.322074915491573,50.89300833362374
