bench,site,stores,pairs,silent,silent_frac
blender,render_result_new,7587314,4200298,2357811,0.5613437427534903
blender,zbufshadeDA_tile,4123532,2291706,1802404,0.7864900646068911
blender,_IO_file_doallocate,2082652,2078421,1861884,0.8958165838393665
blender,zbuffer_solid,12165315,1587525,529175,0.3333333333333333
blender,do_display_buffer_apply_thread,2592009,1036800,530,0.0005111882716049383
blender,IMB_colormanagement_imbuf_for_write,2073601,1036800,1060,0.0010223765432098766
blender,addpsmain,968821,477514,0,0.0
blender,render_layer_add_pass,1431139,325083,0,0.0
blender,bgnwrite,65362,26208,13796,0.5264041514041514
blender,BLI_mempool_create,41670,23238,0,0.0
blender,oldnewmap_new,9079,8125,634,0.07803076923076924
bwaves,shell_,1006569992,957841956,509272635,0.53168754178064
bwaves,bi_cgstab_block_,284919476,253782548,78269323,0.30841097473731727
bwaves,flux_,14991600,7495800,4673805,0.623523172976867
bwaves,MAIN__,8410,5355,3340,0.6237161531279178
cactus,PUGH_EnableGArrayDataStorage,312498000,299680776,99473719,0.33193226581874574
cactus,_IO_file_doallocate,38636,3179,607,0.19094054734193142
cam4,cd_core_,228955584,219664608,5122742,0.023320743594707802
cam4,__dyn_comp_MOD_dyn_run,214113888,177091056,15703976,0.0886774089821905
cam4,__phys_buffer_MOD_pbuf_allocate,163698875,124259003,53949944,0.43417332102688766
cam4,__physics_types_MOD_physics_type_alloc,112450347,102424491,35034519,0.3420521660195509
cam4,__sw_core_MOD_c_sw,171904702,101182174,1792128,0.017711894587281746
cam4,__dyn_comp_MOD_dyn_init,98796960,93336480,2373033,0.02542449640269271
cam4,__sw_core_MOD_d_sw,115503078,55455246,0,0.0
cam4,__tp_core_MOD_tp2d,122973123,48959487,1642330,0.03354467337453924
cam4,__tp_core_MOD_fyppm,92482560,36993024,23272591,0.6291075582250318
cam4,trac2d_,23829358,21542362,3567640,0.16561043770409206
cam4,te_map_,21768744,21406734,4161613,0.19440672266960482
cam4,__mapz_module_MOD_mapn_ppm_tracer,27489130,21019498,7772932,0.36979627201372745
cam4,__tp_core_MOD_ytp,46865088,19410624,9960985,0.513171807356631
cam4,__mapz_module_MOD_map1_ppm,56445661,18032221,11135741,0.6175468346356225
cam4,__m_attrvect_MOD_init_,28256256,17086464,11637620,0.6811017188810979
cam4,ncio_open,13167261,13155530,1570667,0.1193921491570465
cam4,__radae_MOD_initialize_radbuffer,23777280,11888640,373248,0.031395348837209305
cam4,__alloc_mod_MOD_alloc_check_1d_double,61980768,11746656,6230609,0.5304155497530532
cam4,__tracer_data_MOD_trcdata_init,20394623,10274714,147100,0.014316700202068884
cam4,__advect_tend_MOD_compute_adv_tends_xyz,12939264,9693216,326798,0.03371409447597165
deepsjeng,alloc_hash(),223975970,116411650,99834271,0.8575969071823997
exchange2,MAIN__,11732,6429,751,0.11681443459324933
fotonik,MAIN__,234812611,186896160,186411878,0.9974088178162676
fotonik,__upml_mod_MOD_upml_init,35099308,26704928,26415778,0.9891724104255215
fotonik,__power_mod_MOD_power_init,25939928,19427258,19422663,0.9997634766573852
fotonik,__readline_mod_MOD_readline,1643394,216885,67782,0.31252507089010306
fotonik,__power_mod_MOD_power_print,31071,25899,3504,0.13529479902698946
fotonik,__plane_source_mod_MOD_plane_source_init,87845,14641,0,0.0
gcc,ggc_alloc_stat,250318,84580,23308,0.2755734216126744
gcc,pool_alloc,10226,5420,2894,0.5339483394833948
gcc,_cpp_init_tokenrun,3065,3043,1061,0.3486690765691752
gcc,_cpp_get_buff,3902,2668,1001,0.3751874062968516
imagick,AcquireAlignedMemory,2259012,1359420,1059052,0.7790469464918862
imagick,_IO_file_doallocate,864018,859922,180360,0.2097399531585423
imagick,AcquireMagickMemory,43742,5541,4601,0.8303555314925104
lbm,LBM_allocateGrid,556200048,502600048,403782526,0.803387360599695
leela,UCTNode::sort_children(int),937140,775212,476716,0.6149492009927607
leela,"std::vector<TTEntry, std::allocator<TTEntry> >::_M_fill_insert(__gnu_cxx::__normal_iterator<TTEntry*, std::vector<TTEntry, std::allocator<TTEntry> > >, unsigned long, TTEntry const&)",874297,453561,270972,0.597432318916309
leela,"GameState::play_move(int, int)",33699358,437654,187566,0.42857142857142855
leela,"std::vector<unsigned char, std::allocator<unsigned char> >::_M_fill_insert(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned long, unsigned char const&)",2359296,262144,461,0.001758575439453125
leela,"std::vector<SGFTree, std::allocator<SGFTree> >::reserve(unsigned long)",515226,261360,41136,0.1573921028466483
leela,"UCTSearch::dump_stats(GameState&, UCTNode&)",19921440,258720,110880,0.42857142857142855
leela,UCTSearch::dump_analysis(),14229600,184800,79200,0.42857142857142855
leela,_IO_file_doallocate,19469,15373,1823,0.11858453132114746
leela,main,11749,8289,2790,0.33659066232356133
leela,"std::vector<KoState, std::allocator<KoState> >::operator=(std::vector<KoState, std::allocator<KoState> > const&)",253330,3290,1410,0.42857142857142855
mcf,primal_net_simplex,306998904,306962018,68252809,0.2223493624543477
mcf,resize_prob,178745945,141466919,48633983,0.34378343250693116
mcf,price_out_impl,69117977,31151190,298466,0.009581207010069278
mcf,read_min,12992557,10933784,317049,0.028997188896360125
namd,"Patch::readfile(_IO_FILE*, Molecule*)",485405320,483929736,2979278,0.006156426808209199
namd,ComputeNonbondedUtil::calc_self_energy(nonbonded*),470765101,441884184,20816,4.710736603326812e-05
namd,ComputeNonbondedUtil::calc_self_energy_fullelect(nonbonded*),169815360,169811316,83178,0.0004898260137151284
namd,"ComputeList::readfile(_IO_FILE*, PatchList*)",12368608,12352910,0,0.0
namd,ResultSet::ResultSet(int),7193472,3320064,0,0.0
namd,Molecule::readfile(_IO_FILE*),462427,92224,0,0.0
namd,"ComputeNonbondedUtil::select(SimParameters*, Molecule*, LJTable*)",54973,8064,256,0.031746031746031744
namd,ComputeNonbondedUtil::calc_pair_energy(nonbonded*),49631472,6563,14,0.002133170806033826
omnetpp,cMessageHeap::insert(cMessage*),58946026,58886618,51116,0.0008680410207969492
