bench,alloc_type,lines,trivial_lines,bdi8_frac,bdi16_frac,bdi32_frac,mean_range
blender,32bits,1120042,135,0.7839972426281825,0.7993833416524765,0.9710654545422075,1.66646331266545e+17
blender,64bits,286965,472,0.05254229597232742,0.054119995951035456,0.06318129936857096,2.2862094614970653e+17
bwaves,32bits,462,0,0.8939393939393939,0.8939393939393939,0.9848484848484849,286526294.97402596
bwaves,64bits,10920056,0,0.1795639143242489,0.18175236463988828,0.1856235902086949,8.379891499436584e+18
cactus,32bits,48,5,0.0,0.0,1.0,83084403.97674419
cactus,64bits,1602157,0,0.24736277406022006,0.24736901564578254,0.24737338475567625,5.633563245700415e+18
cam4,32bits,1920733,3475,0.3521909935960627,0.41630808164576705,0.42105861600264544,9.953010263816143e+17
cam4,64bits,75844311,62793,0.11130236266842794,0.11289281642523973,0.11353245787449125,2.296076076840195e+18
exchange2,32bits,594,0,0.9292929292929293,0.9292929292929293,0.9848484848484849,140581753.46464646
exchange2,64bits,4,0,1.0,1.0,1.0,0.0
fotonik,32bits,1450608,0,0.9943754618752965,0.9943754618752965,0.9981276816341837,16424777.331338998
fotonik,64bits,7851778,2,0.99342747424277,0.99342747424277,0.99342747424277,2.1671630516525684e+16
gcc,32bits,132,27,0.0,0.0,1.0,201592376.2
gcc,64bits,2309,752,0.5144508670520231,0.573538856775851,1.0,18231868.843288377
imagick,32bits,134,0,0.9776119402985075,0.9850746268656716,0.9925373134328358,1.3766226921734565e+17
imagick,64bits,543,2,0.34011090573012936,0.34011090573012936,0.34011090573012936,71114374809257.22
lbm,64bits,6700000,0,0.17202417910447762,0.17220701492537313,0.17483910447761195,1.840782334307784e+18
leela,32bits,51410,0,0.6493872787395448,0.6493872787395448,0.6539583738572262,3.3590547441587983e+18
leela,64bits,20414,84,0.0,0.0,1.0,87760400.02675849
mcf,32bits,19455,0,0.0,5.1400668208686716e-05,0.679568234387047,5.91092277400793e+18
mcf,64bits,10457487,8,7.650027315378782e-07,0.4244770656484225,0.8954402872814757,1.9287862616432364e+18
nab,32bits,314,15,0.7792642140468228,0.7792642140468228,0.7993311036789298,1.8816103988062433e+18
nab,64bits,1,0,0.0,1.0,1.0,34816.0
namd,32bits,30314,0,0.19014316817312132,0.19014316817312132,1.0,74174926.38655406
namd,64bits,599147,48,0.40417360069037006,0.4044323225376774,0.40465933009402455,5.281122311484083e+18
omnetpp,32bits,1,0,0.0,0.0,0.0,9.223372036854776e+18
omnetpp,64bits,1786445,7,0.03220542778422761,0.6729531055653765,0.999976489528324,108466470265994.7
parest,32bits,72608,0,0.5467028426619657,0.9164830321727633,0.989422653151168,12557567830.906002
parest,64bits,95920,10,0.36155771035345635,0.3692107183818163,0.40335731414868103,4.720878114782024e+18
perlbench,32bits,163,2,0.024844720496894408,0.037267080745341616,1.0,101791330.42236024
perlbench,64bits,666,4,0.5906344410876133,0.7205438066465257,1.0,14371544.117824774
pop2,32bits,10973522,155,0.7401176867592235,0.900936330663141,0.9472033515328522,3193175572208305.5
pop2,64bits,23487981,515,0.6431658485423672,0.6441440724171777,0.6461156346112433,1.8228286140252357e+18
povray,32bits,13957,0,0.9691194382747008,0.9691194382747008,0.9789353012825106,9.697294155847618e+16
povray,64bits,4128,419,0.6918306821245619,0.6980318145052575,0.7533027770288487,1.734428163902065e+18
roms,32bits,8168,0,0.9305827619980411,0.9305827619980411,0.9928991185112634,105118694.51248775
roms,64bits,36071220,5270,0.7042399548604709,0.7619143263937315,0.8821188960778795,7.895137831553944e+16
wrf,32bits,56480155,12208,0.32045365488495625,0.38873688820314295,0.9999620669758014,483158644.3873302
wrf,64bits,4180,0,0.23588516746411484,0.23588516746411484,0.9535885167464114,5.0771662195537837e+17
x264,32bits,1133587,0,0.06175705966987977,0.08700170344225895,0.13747070141065484,2.50582547960404e+18
xalancbmk,64bits,16144,1,0.07371616180387784,0.12791922195378802,1.0,83933604.12475996
xz,32bits,1491395,3,0.15670594987769815,0.22495091833669484,1.0,3544465.6613512747
xz,64bits,1077496,509934,0.0568114144357797,0.056998178172604934,0.05732413375102632,6.938882610584752e+18
