bench,alloc_type,total,pct_zero,pct_sign4,pct_sign8,pct_sign16,pct_sign32,pct_high_zero_low16,pct_repeating_byte,pct_any_pattern
blender,32bits,26794399,0.39923575072536616,0.41268553924273504,0.4126903910029854,0.41280608682433967,0.0,0.41280664664283007,0.3992359000102969,0.4128067959277609
blender,64bits,3357625,0.009437325490488068,0.010228658650087487,0.010238784855366516,0.010480324634228063,0.05069922936599531,0.010494620453445515,0.00946115185585049,0.05069922936599531
bwaves,32bits,12226,0.754294127269753,0.8532635367250123,0.9028300343530181,0.9028300343530181,0.0,0.891542614101096,0.7655815475216751,0.9028300343530181
bwaves,64bits,1306476514,0.4588856298414868,0.4588856298414868,0.4588856298414868,0.4588856298414868,0.45888565433484707,0.4588856298414868,0.4588856298414868,0.45888565433484707
cactus,32bits,323,0.19504643962848298,0.38699690402476783,0.5696594427244582,0.7461300309597523,0.0,0.7461300309597523,0.19504643962848298,0.7461300309597523
cactus,64bits,312498020,0.32647668935630375,0.32647670215638486,0.32647670215638486,0.32647670215638486,0.3264767117564457,0.32647670215638486,0.32647669255632406,0.32647671495646596
cam4,32bits,115718790,0.0905608847102532,0.2088627698232932,0.2110713826164273,0.28154097532475064,0.0,0.20548895300408862,0.1693963530036911,0.28432907914090705
cam4,64bits,1688065555,0.1144780369622553,0.1144780369622553,0.1144780369622553,0.11447805058731857,0.11449244694765423,0.11448060439809164,0.11447837284968473,0.11449278283508367
exchange2,32bits,11178,0.6407228484523171,0.7339416711397387,0.8395061728395061,0.8395061728395061,0.0,0.836464483807479,0.6437645374843443,0.8395061728395061
exchange2,64bits,32,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0
fotonik,32bits,22002158,0.4566288906751783,0.952977703368915,0.9973852564825687,0.9973852564825687,0.0,0.9971377353076003,0.4568764118501467,0.9973852564825687
fotonik,64bits,295842288,0.9929204475325042,0.9929204475325042,0.9929204475325042,0.9929204475325042,0.9929205016153742,0.9929204475325042,0.9929204475325042,0.9929205016153742
gcc,32bits,2157,0.5350023180343069,0.6267964765878535,0.6267964765878535,0.6267964765878535,0.0,0.6184515530829856,0.5414928140936486,0.6267964765878535
gcc,64bits,12425,0.7096981891348089,0.726841046277666,0.7323138832997987,0.7521931589537223,1.0,0.7521931589537223,0.7096981891348089,1.0
imagick,32bits,1087,0.9889604415823368,0.9935602575896965,0.9944802207911684,0.9954001839926403,0.0,0.9944802207911684,0.9898804047838087,0.9954001839926403
imagick,64bits,1075203,0.0,0.0,0.0,0.0,0.38013565810363253,0.3801328679328462,0.0,0.38013565810363253
lbm,64bits,556200048,0.0048184102278250795,0.0066164107918235925,0.0066164107918235925,0.0066164107918235925,0.0066164107918235925,0.0066164107918235925,0.0048184102278250795,0.0066164107918235925
leela,32bits,889572,0.5040941036813209,0.5470934336962044,0.5899061571182547,0.6818211454497219,0.0,0.6818211454497219,0.5040941036813209,0.6818211454497219
leela,64bits,937142,0.40520753525079445,0.5496562954173434,0.5848761447037909,0.6628963380149433,0.9962300270396589,0.6628963380149433,0.40520753525079445,0.9962300270396589
mcf,32bits,10973422,0.09322205962734323,0.1342260417944375,0.22262918531703238,0.30528261831177184,0.0,0.2680423663648404,0.0945546430274895,0.30528261831177184
mcf,64bits,556881961,0.1356305865328613,0.21406385257287944,0.4540665252398075,0.46468961310097096,0.9968853920193691,0.3734255902751355,0.14002194982214552,0.9968853920193691
nab,32bits,2958,0.23732251521298176,0.3076402974983097,0.9357674104124408,0.9357674104124408,0.0,0.9357674104124408,0.24577417173766059,0.9442190669371197
nab,64bits,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
namd,32bits,12829728,0.001135565773491067,0.010909272589411092,0.0374876224967513,0.7360911314721559,0.0,0.8947774263024126,0.008323870934754033,0.9019657314636756
namd,64bits,1103192824,0.006082974665904825,0.006083105196122995,0.006083105196122995,0.006083238445720709,0.006085076746293266,0.006083238445720709,0.006082974665904825,0.006085076746293266
omnetpp,32bits,70,0.3,0.5571428571428572,0.6,0.7857142857142857,0.0,0.7857142857142857,0.3142857142857143,0.8
omnetpp,64bits,73108439,0.002783126035559315,0.002792263147623765,0.0028978186772665193,0.0038177398371205817,0.9996843866410552,0.0038177535154320557,0.002783126035559315,0.9996843866410552
parest,32bits,1784670,0.015024626401519608,0.636855553127469,0.6480352109913877,0.9895566127071111,0.0,0.368604279782817,0.6365737083046166,0.990153361685914
parest,64bits,19195481,0.25837867777316964,0.25961073858998374,0.2662784016717268,0.2663628486308835,0.2720314744913139,0.26645297400987245,0.25837867777316964,0.2720314744913139
perlbench,32bits,10686177,0.09082069293817611,0.28778027914005166,0.5345335380463939,0.6590250189567326,0.0,0.628940733435353,0.12091311981824744,0.6590332538942598
perlbench,64bits,6894,0.1875543951261967,0.1875543951261967,0.19103568320278502,0.49318247751668115,1.0,0.5606324340005802,0.1875543951261967,1.0
pop2,32bits,646558086,0.23891340522187823,0.25318832529456603,0.2578498585199041,0.46679727395753273,0.0,0.5110147242053052,0.24585344370745368,0.5179771334574261
pop2,64bits,318795464,0.5604929058840059,0.560496161890183,0.5604965979064244,0.5605249013204279,0.5631092040882991,0.5605474204614154,0.5605162405949414,0.5631325387992346
povray,32bits,976390,0.5782197687399502,0.5833673020002254,0.5833673020002254,0.583369350362048,0.0,0.5782842921373631,0.5833027786028124,0.583369350362048
povray,64bits,36417306,0.11344674974035696,0.11417459050924854,0.12556362626054765,0.131600371537642,0.3804015596321156,0.131600371537642,0.11344674974035696,0.3804015596321156
roms,32bits,951206,0.09701683967510719,0.5607102982950065,0.9834326108119588,0.9848234767232334,0.0,0.9841264668221185,0.09771384957622219,0.9848234767232334
roms,64bits,1797046454,0.1734711277530503,0.1734711277530503,0.1734711277530503,0.1734711277530503,0.17347113665654856,0.1734711277530503,0.1734711277530503,0.17347113665654856
wrf,32bits,4446681119,0.3101946202317729,0.3109934413986028,0.312243198206271,0.3158806353345797,0.0,0.3159394043339765,0.31019640493361855,0.31594118903582213
wrf,64bits,1368723,0.3150834756192451,0.3150834756192451,0.31508566744330296,0.3150951653475539,0.31690122837126283,0.3153494169382702,0.3349545525281595,0.3367723052801772
x264,32bits,42378420,0.1339449181918533,0.15912778248929527,0.17312993264024473,0.19812843423610413,0.0,0.2123518998584657,0.2249259882742207,0.3070078591887097
xalancbmk,64bits,447619,0.43421972704465184,0.5901916585310275,0.5931718716140288,0.5966368719826459,1.0,0.5966368719826459,0.43421972704465184,1.0
xz,32bits,230562997,0.16810810713047766,0.16810810713047766,0.16810810713047766,0.16810810713047766,0.0,0.16810810713047766,0.16810810713047766,0.16810810713047766
xz,64bits,50610078,0.19191600534581274,0.19193276090188993,0.19202851258201972,0.19207706022504056,0.19222813685448184,0.19206639041338763,0.20336192724302854,0.2036588839084579
