bench,alloc_type,site,min_e,max_e,exp_range,required_e_bits,total
blender,32bits,render_result_new,-29,0,30,5,5961826
blender,32bits,zbuffer_solid,-111,125,237,8,4585090
blender,32bits,do_display_buffer_apply_thread,-29,-1,29,5,2589889
blender,64bits,IMB_colormanagement_imbuf_for_write,-234,-7,228,8,2072541
blender,32bits,zbufshadeDA_tile,-111,125,237,8,1528074
blender,32bits,render_layer_add_pass,3,36,34,6,1431139
blender,64bits,render_result_new,-234,-7,228,8,1036271
blender,64bits,DNA_sdna_from_data,-1022,936,1959,11,30648
blender,64bits,add_memfilechunk,-1022,1023,2046,11,14966
blender,64bits,read_struct,-623,1023,1647,11,12276
blender,64bits,get_bhead,-1020,1023,2044,11,1535
blender,64bits,gz_look,-298,743,1042,11,1018
bwaves,64bits,shell_,-437,11,449,9,532268283
bwaves,64bits,bi_cgstab_block_,-223,-3,221,8,163176147
bwaves,64bits,flux_,-220,0,221,8,11508754
bwaves,32bits,MAIN__,-118,-118,1,1,1610
cactus,64bits,PUGH_EnableGArrayDataStorage,-108,4,113,7,210474687
cam4,64bits,cd_core_,-153,21,175,8,218939651
cam4,64bits,__dyn_comp_MOD_dyn_run,-502,19,522,10,202021643
cam4,64bits,__sw_core_MOD_c_sw,-63,14,78,7,171551518
cam4,64bits,__tp_core_MOD_tp2d,-507,13,521,10,122259214
cam4,64bits,__sw_core_MOD_d_sw,-46,15,62,6,106429086
cam4,64bits,__phys_buffer_MOD_pbuf_allocate,-502,1023,1526,11,105376146
cam4,64bits,__dyn_comp_MOD_dyn_init,-502,1023,1526,11,96882763
cam4,32bits,__physics_types_MOD_physics_type_alloc,-126,127,254,8,88412378
cam4,64bits,__tp_core_MOD_fyppm,-476,13,490,9,86823896
cam4,64bits,__mapz_module_MOD_ppm2m,-461,22,484,9,59109893
cam4,64bits,__mapz_module_MOD_map1_ppm,-31,35,67,7,48646243
cam4,64bits,__tp_core_MOD_ytp,-433,7,441,9,43776286
cam4,64bits,__radae_MOD_initialize_radbuffer,-8,1023,1032,11,23777280
cam4,64bits,__mapz_module_MOD_mapn_ppm_tracer,-472,13,486,9,23140325
cam4,64bits,trac2d_,-502,13,516,10,23040605
cam4,64bits,te_map_,-42,31,74,7,21591624
cam4,64bits,__tp_core_MOD_tpcc,-47,-12,36,6,21510166
cam4,64bits,__cam_diagnostics_MOD_diag_allocate,-483,1023,1507,11,11647499
cam4,64bits,__physics_types_MOD_physics_type_alloc,-130,1023,1154,11,11268524
cam4,64bits,__tracer_data_MOD_trcdata_init,-120,16,137,8,10329984
exchange2,32bits,MAIN__,-118,-118,1,1,4016
fotonik,64bits,__upml_mod_MOD_upml_init,-209,36,246,8,1572772
fotonik,64bits,MAIN__,-189,-42,148,8,484234
fotonik,32bits,__readline_mod_MOD_readline,-118,-105,14,4,130158
fotonik,64bits,__plane_source_mod_MOD_plane_source_init,-77,4,82,7,29282
fotonik,32bits,__power_mod_MOD_power_print,-111,-105,7,3,9421
fotonik,64bits,__power_mod_MOD_power_init,-6,1,8,3,8127
gcc,32bits,pool_alloc,-118,-118,1,1,1003
lbm,64bits,LBM_allocateGrid,-6,-2,5,3,553520048
leela,32bits,"std::vector<TTEntry, std::allocator<TTEntry> >::_M_fill_insert(__gnu_cxx::__normal_iterator<TTEntry*, std::vector<TTEntry, std::allocator<TTEntry> > >, unsigned long, TTEntry const&)",-126,127,254,8,440674
mcf,32bits,read_min,-126,127,254,8,9950457
namd,64bits,"Patch::readfile(_IO_FILE*, Molecule*)",-29,16,46,6,480840678
namd,64bits,ComputeNonbondedUtil::calc_self_energy(nonbonded*),-29,16,46,6,440782456
namd,64bits,ComputeNonbondedUtil::calc_self_energy_fullelect(nonbonded*),-34,16,51,6,168692856
namd,32bits,"ComputeList::readfile(_IO_FILE*, PatchList*)",-118,-97,22,5,12354469
namd,64bits,ResultSet::ResultSet(int),-21,16,38,6,6086580
namd,32bits,Molecule::readfile(_IO_FILE*),-118,-117,2,1,368884
namd,64bits,"ComputeNonbondedUtil::select(SimParameters*, Molecule*, LJTable*)",-68,72,141,8,47023
namd,64bits,LJTable::readfile(_IO_FILE*),-19,24,44,6,27888
namd,64bits,ComputeNonbondedUtil::calc_pair_energy(nonbonded*),-1022,-985,38,6,2188
parest,64bits,"dealii::TableBase<2, double>::TableBase(dealii::TableIndices<2> const&)",-31,0,32,5,7733352
parest,64bits,"dealii::Vector<double>::reinit(unsigned int, bool)",-198,-1,198,8,4891312
parest,64bits,dealii::SparseMatrix<double>::reinit(dealii::SparsityPattern const&),-18,-1,18,5,753472
parest,64bits,void METomography::Slave::internal::SparseDirectSPEC::solve<double>(dealii::Vector<double>&) const,-144,-54,91,7,559600
parest,64bits,"dealii::Vector<double>::Vector<dealii::internal::BlockVectorIterators::Iterator<dealii::BlockVectorBase<dealii::Vector<double> >, true> >(dealii::internal::BlockVectorIterators::Iterator<dealii::BlockVectorBase<dealii::Vector<double> >, true>, dealii::internal::BlockVectorIterators::Iterator<dealii::BlockVectorBase<dealii::Vector<double> >, true>)",-48,-1,48,6,9898
parest,64bits,"void dealii::SolverGMRES<dealii::Vector<double> >::solve<dealii::SparseMatrix<double>, dealii::SparseILU<double> >(dealii::SparseMatrix<double> const&, dealii::Vector<double>&, dealii::Vector<double> const&, dealii::SparseILU<double> const&)",-22,0,23,5,8567
parest,64bits,"std::vector<dealii::Point<3>, std::allocator<dealii::Point<3> > >::reserve(unsigned long)",-3,0,4,2,4440
parest,64bits,"dealii::Quadrature<3>::Quadrature(std::vector<dealii::Point<3>, std::allocator<dealii::Point<3> > > const&, std::vector<double, std::allocator<double> > const&)",-3,0,4,2,4440
