bench,alloc_type,total_stores,distinct_values,top1_frac,top8_frac,top64_frac,top256_frac,top1024_frac
blender,32bits,26794399,1309108,0.39921597047203783,0.8389991132101899,0.9057735536445508,0.906627948624636,0.907229753501842
blender,64bits,3357625,257123,0.2721495104426492,0.8545719072260899,0.8703098172071032,0.8791744164401921,0.8825086184430959
blender,object,5337338,99653,0.5140328380926972,0.883279642398514,0.9629729277029111,0.9748696822273575,0.9791508426110545
bwaves,32bits,12226,230,0.754294127269753,0.862097169965647,0.9525601177817765,1.0,1.0
bwaves,64bits,1306476514,352878677,0.4588856298414868,0.5713825859099982,0.6223023432015556,0.651206640825998,0.6563383809898323
bwaves,object,2472,269,0.15857605177993528,0.4065533980582524,0.8220064724919094,0.9947411003236246,1.0
cactus,32bits,323,117,0.19504643962848298,0.5479876160990712,0.8359133126934984,1.0,1.0
cactus,64bits,312498020,116182301,0.32647668935630375,0.33502931954576864,0.3436782031450951,0.3532974064923675,0.3698006278567781
cactus,object,38636,75,0.4110673982813956,0.7151102598612693,0.9987058701728957,1.0,1.0
cam4,32bits,115718790,53278045,0.08673808289906937,0.2068579960091183,0.22546449025262016,0.227552517616197,0.23174339275410674
cam4,64bits,1688065555,949743081,0.1144780369622553,0.16209141297240676,0.17769902840058838,0.17919516638676986,0.18037449262448815
cam4,object,56168364,5212620,0.12480124932960483,0.28801340911407,0.5069688873259688,0.904392070240821,0.9059936479545675
deepsjeng,object,223975970,4704897,0.8249254908908308,0.9169490637767971,0.9484825894492164,0.9603355484965642,0.9673236508362928
exchange2,32bits,11178,238,0.6407228484523171,0.8216138844158167,0.9383610663803901,1.0,1.0
exchange2,64bits,32,4,0.5,1.0,1.0,1.0,1.0
exchange2,object,1368,110,0.22660818713450293,0.6681286549707602,0.9612573099415205,1.0,1.0
fotonik,32bits,22002158,6434,0.4566288906751783,0.9836475585713002,0.998845976835545,0.9992957963487036,0.9995052303505865
fotonik,64bits,295842288,393371,0.9929204475325042,0.9981896435306098,0.9982109657021041,0.9982390617530649,0.9982669076707519
fotonik,object,60987365,23499,0.8056436607812126,0.9948760698220033,0.9991831258818937,0.9994650859239451,0.9995539567908861
gcc,32bits,2157,93,0.5350023180343069,0.6606397774687065,0.96105702364395,1.0,1.0
gcc,64bits,12425,3129,0.7096981891348089,0.7406036217303823,0.752354124748491,0.7687726358148893,0.8305835010060362
gcc,object,256313,18487,0.5249909290593923,0.635668108913711,0.7594737684003543,0.813868200208339,0.842243663021384
imagick,32bits,1087,12,0.9889604415823368,0.9963201471941122,1.0,1.0,1.0
imagick,64bits,1075203,1775,0.3801328679328462,0.6198643418963675,0.6406976171011428,0.6978403148056692,0.904126941610096
imagick,object,2090482,94314,0.41522003059581475,0.6734422970396301,0.7238947764199836,0.7952443503459967,0.8125891540802552
lbm,64bits,556200048,26268119,0.2908794499061244,0.9038753373138867,0.9275323363510389,0.9279371115768045,0.9280267699653273
lbm,object,581,56,0.16523235800344235,0.5387263339070568,1.0,1.0,1.0
leela,32bits,889572,31452,0.5040941036813209,0.5820821698524684,0.6947116141245453,0.7552384742325523,0.8374847679558259
leela,64bits,937142,20175,0.40520753525079445,0.5694014354281421,0.6372972292352707,0.7166384603400552,0.7653066450975412
leela,object,71010481,112613,0.16020364655747085,0.40950311264614586,0.5483459406506485,0.7062276764468051,0.9376618783922898
mcf,32bits,10973422,548995,0.09322205962734323,0.16965983810701893,0.23303423489956004,0.3205259945347951,0.47074549762143475
mcf,64bits,556881961,11140364,0.1356305865328613,0.27549073186804124,0.4211799688731523,0.511866898127088,0.5984394707301356
