bench,alloc_type,site,total,n_outlier_999,distinct_offsets,outlier_offsets,channel_frac
blender,32bits,render_result_new,5961826,1670,18497,951,0.051413742769097694
blender,32bits,zbuffer_solid,4585900,3588148,9251,9249,0.9997838071559831
blender,32bits,do_display_buffer_apply_thread,2589889,2523,184321,2523,0.013688076779097336
blender,64bits,IMB_colormanagement_imbuf_for_write,2072541,2307,1036271,2307,0.002226251627228785
blender,32bits,zbufshadeDA_tile,1528209,1195917,9251,9249,0.9997838071559831
blender,32bits,render_layer_add_pass,1431139,1334907,523026,523024,0.9999961760983201
blender,64bits,render_result_new,1036271,1140,1036271,1140,0.001100098333351025
blender,64bits,zbufshadeDA_tile,68861,69,4625,69,0.014918918918918918
blender,64bits,DNA_sdna_from_data,56221,37,56216,37,0.0006581756083677245
blender,64bits,BLI_mempool_create,41634,65,2048,17,0.00830078125
blender,64bits,add_memfilechunk,20684,24,12942,24,0.0018544274455261937
blender,64bits,read_struct,12276,12,11434,12,0.001049501486793773
blender,64bits,oldnewmap_new,7472,16,954,16,0.016771488469601678
blender,64bits,BLI_mempool_as_arrayN,5717,13,5717,13,0.002273919888053175
blender,64bits,get_bhead,1535,3,975,3,0.003076923076923077
blender,64bits,ghash_new,1397,1,755,1,0.0013245033112582781
blender,64bits,gz_look,1018,1,1018,1,0.0009823182711198428
