bench,alloc_type,site,distinct_offsets,frac_constant_exp,mean_exp_range,median_exp_range,p95_exp_range
blender,32bits,render_result_new,1831699,0.8848850165884242,0.7157409596227328,0.0,6
blender,64bits,IMB_colormanagement_imbuf_for_write,1036270,0.5002557248593513,9.442441641657098,5.0,19
blender,32bits,do_display_buffer_apply_thread,1035740,0.0,2.885260779732365,3.0,3
blender,32bits,render_layer_add_pass,323707,0.7073897073588152,9.656139657159098,16.5,33
blender,32bits,zbuffer_solid,159162,0.5236111634686671,0.47638883653133285,0.5,1
blender,32bits,zbufshadeDA_tile,104087,0.8759883558945882,0.12401164410541182,0.0,1
bwaves,64bits,shell_,30067612,0.09840432289734216,23.730072910346188,23.869565217391305,82
bwaves,64bits,bi_cgstab_block_,19549697,0.07797491695139827,5.6392152267116975,4.166666666666667,17
bwaves,64bits,flux_,5754377,0.769145122052309,0.3750539806481223,0.3333333333333333,3
cactus,64bits,PUGH_EnableGArrayDataStorage,10504221,0.2584161167210781,5.019895811407624,3.0,12
cam4,64bits,__tp_core_MOD_tp2d,48514927,0.4941985793362113,3.2189078013041224,2.5833333333333335,36
cam4,64bits,__tp_core_MOD_fyppm,36719578,0.9210139070770367,0.6232852948364493,0.0,23
cam4,64bits,__sw_core_MOD_c_sw,32049264,0.2147479892205949,12.623511354270102,12.75,33
cam4,64bits,__dyn_comp_MOD_dyn_run,28845882,0.5305094155207318,2.9119471541899813,2.52,34
cam4,64bits,__sw_core_MOD_d_sw,21349125,0.007017289935770201,16.745121263752026,12.428571428571429,33
cam4,64bits,__phys_buffer_MOD_pbuf_allocate,19246936,0.0,1048.6317355655985,1043.0,1109
cam4,64bits,__tp_core_MOD_ytp,14112174,0.7872645986366098,1.0664941489525286,0.2,31
cam4,64bits,__mapz_module_MOD_map1_ppm,12044224,0.9199965062091173,0.1255276388084446,0.0,1
cam4,64bits,__radae_MOD_initialize_radbuffer,11888640,0.031395348837209305,993.1996241790482,1026.0,1030
cam4,64bits,__tp_core_MOD_tpcc,8596174,0.9977911103241978,0.002623725392250087,1.0,6
cam4,32bits,__physics_types_MOD_physics_type_alloc,8398013,0.13828342490062828,137.6683459527867,154.0,241
cam4,64bits,__dyn_comp_MOD_dyn_init,5431615,0.0,1036.8045916361893,1019.8571428571429,1320
cam4,64bits,__mapz_module_MOD_mapn_ppm_tracer,4348173,0.003660387937646455,129.02998592742284,122.5,308
cam4,64bits,__cam_diagnostics_MOD_diag_allocate,4205998,0.0,1094.7073945351376,1041.75,1313
cam4,64bits,__advect_tend_MOD_compute_adv_tends_xyz,3061006,0.028866980332609607,10.925557480122547,104.0,362
cam4,64bits,__m_attrvect_MOD_init_,1798189,0.6678424792944457,17.607974467644947,0.7894736842105263,1015
cam4,64bits,trac2d_,1201392,0.0,166.3211807636475,278.25,395
cam4,64bits,__physics_types_MOD_physics_type_alloc,1119744,0.0,1052.2807105909922,1050.0,1091
cam4,64bits,__alloc_mod_MOD_alloc_check_1d_double,746496,0.0,7.570974258401921,7.0,8
cam4,64bits,cd_core_,664176,0.0,26.3977499939775,28.0,71
fotonik,64bits,__upml_mod_MOD_upml_init,653522,0.5754358690296577,1.3049981484938533,5.933333333333334,16
fotonik,64bits,MAIN__,131526,0.0005778325198059699,2.5484390918905766,2.0,4
fotonik,32bits,__readline_mod_MOD_readline,10848,1.0,0.0,0.0,0
fotonik,64bits,__power_mod_MOD_power_init,1806,0.16832779623477298,0.9961240310077519,0.6666666666666666,2
gcc,32bits,pool_alloc,200,1.0,0.0,0.0,0
lbm,64bits,LBM_allocateGrid,49600800,1.0,0.0,0.0,0
leela,32bits,"std::vector<TTEntry, std::allocator<TTEntry> >::_M_fill_insert(__gnu_cxx::__normal_iterator<TTEntry*, std::vector<TTEntry, std::allocator<TTEntry> > >, unsigned long, TTEntry const&)",8214,0.7408083759435111,11.459581202824445,0.0,99
mcf,32bits,read_min,90930,0.47366105795666996,59.55298581326295,65.0,253
namd,64bits,ResultSet::ResultSet(int),2213172,0.0,15.604249466376766,15.25,23
namd,64bits,"Patch::readfile(_IO_FILE*, Molecule*)",830016,0.0,17.560279560875934,17.0,29
namd,64bits,ComputeNonbondedUtil::calc_self_energy(nonbonded*),5134,0.002337358784573432,20.218932606155043,14.5,33
namd,64bits,ComputeNonbondedUtil::calc_self_energy_fullelect(nonbonded*),4044,0.0,27.745301681503463,27.0,39
