bench,alloc_type,block_size,blocks,distinct_scales_total,overall_scale_share,mean_per_buffer_scale_share,median_per_buffer_scale_share
blender,32bits,16,5726497,1083,0.0001891208534641684,0.008786913214827842,0.00043252595155709344
blender,32bits,32,5726497,1083,0.0001891208534641684,0.008786913214827842,0.00043252595155709344
blender,32bits,64,5726497,1083,0.0001891208534641684,0.008786913214827842,0.00043252595155709344
blender,64bits,16,2117795,2677,0.0012640505809108059,0.18880934503071214,0.07960199004975124
blender,64bits,32,2117795,2677,0.0012640505809108059,0.18880934503071214,0.07960199004975124
blender,64bits,64,2117795,2677,0.0012640505809108059,0.18880934503071214,0.07960199004975124
bwaves,32bits,16,108,8,0.07407407407407407,0.08315381708238852,0.06666666666666667
bwaves,32bits,32,108,8,0.07407407407407407,0.08315381708238852,0.06666666666666667
bwaves,32bits,64,108,8,0.07407407407407407,0.08315381708238852,0.06666666666666667
bwaves,64bits,16,55390522,17848,0.0003222211915605345,0.0006938473517569026,0.0003439501878627789
bwaves,64bits,32,55390522,17848,0.0003222211915605345,0.0006938473517569026,0.0003439501878627789
bwaves,64bits,64,55390522,17848,0.0003222211915605345,0.0006938473517569026,0.0003439501878627789
cactus,32bits,16,82,19,0.23170731707317074,0.23421052631578948,0.25
cactus,32bits,32,82,19,0.23170731707317074,0.23421052631578942,0.25
cactus,32bits,64,82,19,0.23170731707317074,0.23421052631578942,0.25
cactus,64bits,16,9428655,1972,0.0002091496613249716,0.006127059537763539,0.00025645178706403194
cactus,64bits,32,9428655,1972,0.0002091496613249716,0.006127059537763539,0.00025645178706403194
cactus,64bits,64,9428655,1972,0.0002091496613249716,0.00612705953776354,0.00025645178706403194
cam4,32bits,16,8246929,936,0.00011349679377620445,0.11383808255667872,0.1111111111111111
cam4,32bits,32,8246929,936,0.00011349679377620445,0.11383808255667872,0.1111111111111111
cam4,32bits,64,8246929,936,0.00011349679377620445,0.1138380825566787,0.1111111111111111
cam4,64bits,16,537367900,4982621,0.00927227138055697,0.059777411496276786,0.015046296296296295
cam4,64bits,32,537367900,4982621,0.00927227138055697,0.05977741149627677,0.015046296296296295
cam4,64bits,64,537367900,4982621,0.00927227138055697,0.05977741149627698,0.015046296296296295
exchange2,32bits,16,99,9,0.09090909090909091,0.12860350977998036,0.14285714285714285
exchange2,32bits,32,99,9,0.09090909090909091,0.12860350977998036,0.14285714285714285
exchange2,32bits,64,99,9,0.09090909090909091,0.12860350977998036,0.14285714285714285
fotonik,32bits,16,19035,3595,0.18886262148673497,0.1889603615579294,0.14285714285714285
fotonik,32bits,32,19035,3595,0.18886262148673497,0.1889603615579293,0.14285714285714285
fotonik,32bits,64,19035,3595,0.18886262148673497,0.18896036155792897,0.14285714285714285
fotonik,64bits,16,1146442,1730,0.0015090165922044029,0.046114836156184,0.005600710333993579
fotonik,64bits,32,1146442,1730,0.0015090165922044029,0.046114836156184,0.005600710333993579
fotonik,64bits,64,1146442,1730,0.0015090165922044029,0.04611483615618399,0.005600710333993579
gcc,32bits,16,369,28,0.07588075880758807,0.08317489050956352,0.09090909090909091
gcc,32bits,32,369,28,0.07588075880758807,0.08317489050956352,0.09090909090909091
gcc,32bits,64,369,28,0.07588075880758807,0.08317489050956352,0.09090909090909091
imagick,32bits,16,1,1,1.0,1.0,1.0
imagick,32bits,32,1,1,1.0,1.0,1.0
imagick,32bits,64,1,1,1.0,1.0,1.0
lbm,64bits,16,50920000,6,1.178318931657502e-07,1.178318931657502e-07,1.178318931657502e-07
lbm,64bits,32,50920000,6,1.178318931657502e-07,1.178318931657502e-07,1.178318931657502e-07
lbm,64bits,64,50920000,6,1.178318931657502e-07,1.178318931657502e-07,1.178318931657502e-07
leela,32bits,16,26515,489,0.01844239109937771,0.4979226794563516,0.5
leela,32bits,32,26515,489,0.01844239109937771,0.4979226794563516,0.5
leela,32bits,64,26515,489,0.01844239109937771,0.4979226794563516,0.5
mcf,32bits,16,66784,8,0.00011978917105893628,0.00011978917105893628,0.00011978917105893628
mcf,32bits,32,66784,8,0.00011978917105893628,0.00011978917105893628,0.00011978917105893628
mcf,32bits,64,66784,8,0.00011978917105893628,0.00011978917105893628,0.00011978917105893628
nab,32bits,16,167,69,0.41317365269461076,0.41317365269461076,0.41317365269461076
nab,32bits,32,167,69,0.41317365269461076,0.41317365269461076,0.41317365269461076
nab,32bits,64,167,69,0.41317365269461076,0.41317365269461076,0.41317365269461076
namd,32bits,16,94240,32,0.00033955857385398983,0.026716630485714456,0.010683760683760684
namd,32bits,32,94240,32,0.00033955857385398983,0.026716630485714456,0.010683760683760684
namd,32bits,64,94240,32,0.00033955857385398983,0.026716630485714456,0.010683760683760684
namd,64bits,16,3404646,3851,0.0011311014419707658,0.006023480782280039,0.0064516129032258064
namd,64bits,32,3404646,3851,0.0011311014419707658,0.006023480782280039,0.0064516129032258064
namd,64bits,64,3404646,3851,0.0011311014419707658,0.006023480782280039,0.0064516129032258064
omnetpp,64bits,16,42,42,1.0,1.0,1.0
omnetpp,64bits,32,42,42,1.0,1.0,1.0
omnetpp,64bits,64,42,42,1.0,1.0,1.0
parest,32bits,16,288,2,0.006944444444444444,0.006944444444444444,0.006944444444444444
parest,32bits,32,288,2,0.006944444444444444,0.006944444444444444,0.006944444444444444
parest,32bits,64,288,2,0.006944444444444444,0.006944444444444444,0.006944444444444444
parest,64bits,16,381152,982,0.002576399966417597,0.026721975738513665,0.009292351679771264
parest,64bits,32,381152,982,0.002576399966417597,0.026721975738513662,0.009292351679771264
parest,64bits,64,381152,982,0.002576399966417597,0.026721975738513662,0.009292351679771264
perlbench,32bits,16,546,5,0.009157509157509158,0.010402044396569395,0.009293225727561751
perlbench,32bits,32,546,5,0.009157509157509158,0.010402044396569395,0.009293225727561751
perlbench,32bits,64,546,5,0.009157509157509158,0.010402044396569395,0.009293225727561751
pop2,32bits,16,4635198,8956,0.0019321720452934266,0.197499326752257,0.2857142857142857
pop2,32bits,32,4635198,8956,0.0019321720452934266,0.19749932675225718,0.2857142857142857
pop2,32bits,64,4635198,8956,0.0019321720452934266,0.1974993267522572,0.2857142857142857
pop2,64bits,16,97869240,30380,0.0003104141812074969,0.023834148497375737,0.00047222558027079306
pop2,64bits,32,97869240,30380,0.0003104141812074969,0.02383414849737573,0.00047222558027079306
pop2,64bits,64,97869240,30380,0.0003104141812074969,0.02383414849737574,0.00047222558027079306
povray,32bits,16,2879,585,0.20319555401180966,0.2678517796553965,0.23809523809523808
povray,32bits,32,2879,585,0.20319555401180966,0.2678517796553966,0.23809523809523808
povray,32bits,64,2879,585,0.20319555401180966,0.2678517796553965,0.23809523809523808
povray,64bits,16,6096,170,0.02788713910761155,0.9486319108254447,1.0
povray,64bits,32,6096,170,0.02788713910761155,0.9486319108254447,1.0
povray,64bits,64,6096,170,0.02788713910761155,0.9486319108254447,1.0
roms,32bits,16,1314,85,0.06468797564687975,0.099979197539292,0.08893280632411067
roms,32bits,32,1314,85,0.06468797564687975,0.099979197539292,0.08893280632411067
roms,32bits,64,1314,85,0.06468797564687975,0.099979197539292,0.08893280632411067
roms,64bits,16,267841218,486112,0.0018149260357679527,0.002464823681875269,0.002349072116513977
roms,64bits,32,267841218,486112,0.0018149260357679527,0.0024648236818752742,0.002349072116513977
roms,64bits,64,267841218,486112,0.0018149260357679527,0.0024648236818752656,0.002349072116513977
wrf,32bits,16,527086763,3518193,0.0066747891371349045,0.06158863954466053,0.006259780907668232
wrf,32bits,32,527086763,3518193,0.0066747891371349045,0.06158863954466055,0.006259780907668232
wrf,32bits,64,527086763,3518193,0.0066747891371349045,0.06158863954466025,0.006259780907668232
wrf,64bits,16,31544,900,0.02853157494293685,0.28405656049679484,0.17307692307692307
wrf,64bits,32,31544,900,0.02853157494293685,0.28405656049679484,0.17307692307692307
wrf,64bits,64,31544,900,0.02853157494293685,0.2840565604967949,0.17307692307692307
x264,32bits,16,7483712,24076,0.0032171200602054166,0.8752406195970854,1.0
x264,32bits,32,7483712,24076,0.0032171200602054166,0.8752406195970857,1.0
x264,32bits,64,7483712,24076,0.0032171200602054166,0.8752406195970854,1.0
xz,64bits,16,4261933,18414,0.0043205747251305925,0.008899996123881905,0.003988809498279509
xz,64bits,32,4261933,18414,0.0043205747251305925,0.008899996123881905,0.003988809498279509
xz,64bits,64,4261933,18414,0.0043205747251305925,0.008899996123881905,0.003988809498279509
