bench,alloc_type,total,bit_pos,p_one,entropy
blender,32bits,26794399,0,0.29674268864922104,0.8772726651134737
blender,32bits,26794399,1,0.45407676432675353,0.993906290669949
blender,32bits,26794399,2,0.2967246624938294,0.8772502243080591
blender,32bits,26794399,3,0.23408250358591734,0.7850604172274713
blender,32bits,26794399,4,0.44690653445893674,0.9918509727047304
blender,32bits,26794399,5,0.43895569368807263,0.9892209894651988
blender,32bits,26794399,6,0.3887274351628488,0.9639734054703352
blender,32bits,26794399,7,0.28962735831469855,0.868239393823629
blender,32bits,26794399,8,0.4410997611851641,0.9899666136020255
blender,32bits,26794399,9,0.44010369480576894,0.9896235675831794
blender,32bits,26794399,10,0.2368562549210378,0.789773138278296
blender,32bits,26794399,11,0.244424403771848,0.8023208144198145
blender,32bits,26794399,12,0.23881315643616413,0.7930610231013888
blender,32bits,26794399,13,0.3864950283079684,0.9625003771630457
blender,32bits,26794399,14,0.4400627534135026,0.9896093430684472
blender,32bits,26794399,15,0.23429008428216658,0.7854152425673651
blender,32bits,26794399,16,0.24077468578414465,0.7963261830837323
blender,32bits,26794399,17,0.2880197462163641,0.8661494648027849
blender,32bits,26794399,18,0.24187069842469688,0.7981373701888556
blender,32bits,26794399,19,0.29124329304792396,0.8703218792886941
blender,32bits,26794399,20,0.4359137892960391,0.9881169186909713
blender,32bits,26794399,21,0.2915978820797585,0.8707764010204744
blender,32bits,26794399,22,0.39317164755216194,0.9668158522052251
blender,32bits,26794399,23,0.3572815721673772,0.9404035281303931
blender,32bits,26794399,24,0.4702002832756204,0.9974361878298403
blender,32bits,26794399,25,0.3128083223661781,0.8963886311925393
blender,32bits,26794399,26,0.5032284918948919,0.9999699249087723
blender,32bits,26794399,27,0.5258134358602333,0.9980765130239866
blender,32bits,26794399,28,0.5707155066250973,0.9855225871999003
blender,32bits,26794399,29,0.5208952438156945,0.9987398393834275
blender,32bits,26794399,30,0.255160192247641,0.8193548586687738
blender,32bits,26794399,31,0.008126250564530296,0.06809807466544895
blender,32bits,26794399,32,0.010000746797866226,0.08079808664465407
blender,32bits,26794399,33,0.027769423005158653,0.18307921244343522
blender,32bits,26794399,34,0.010606358440806976,0.08478663283704821
blender,32bits,26794399,35,0.0013357269181518121,0.014679492282388738
blender,32bits,26794399,36,0.027655966457766044,0.1824968666724843
blender,32bits,26794399,37,0.026936562376338426,0.17878814673179205
blender,32bits,26794399,38,0.018395075776844256,0.132331972316943
blender,32bits,26794399,39,0.010599752582619972,0.08474340411763877
blender,32bits,26794399,40,0.02695070712352981,0.17886133882517588
blender,32bits,26794399,41,0.0276724997638499,0.18258177116405486
blender,32bits,26794399,42,0.0013539396797069417,0.014853176943729238
blender,32bits,26794399,43,0.002054683144787088,0.021303119707834484
blender,32bits,26794399,44,0.001341287781823358,0.014732560871781028
blender,32bits,26794399,45,0.018395187740542343,0.1323326147362586
blender,32bits,26794399,46,0.027659474653639368,0.1825148837494287
blender,32bits,26794399,47,0.0013387499380001023,0.014708345789634831
blender,32bits,26794399,48,0.0013399068962136453,0.014719385879459281
blender,32bits,26794399,49,0.009880759034752001,0.08000160491154605
blender,32bits,26794399,50,0.0020610277543452273,0.021359724228795045
blender,32bits,26794399,51,0.010596281707979343,0.08472068831726236
blender,32bits,26794399,52,0.02746062712584074,0.1814926161986154
blender,32bits,26794399,53,0.01025475510758797,0.08247730876132837
blender,32bits,26794399,54,0.017946287953687634,0.12974882839512158
blender,32bits,26794399,55,0.028482370513330045,0.18672297097041704
blender,32bits,26794399,56,0.04669774455474818,0.27220003776562385
blender,32bits,26794399,57,0.02099311874843694,0.14698089183122978
blender,32bits,26794399,58,0.03794494513573527,0.2327891688445283
blender,32bits,26794399,59,0.03795147635145688,0.23281963050513743
blender,32bits,26794399,60,0.047221249485760064,0.2744736490599119
blender,32bits,26794399,61,0.038675097732179024,0.23618423235003197
blender,32bits,26794399,62,0.009673775478225878,0.0786226380450771
blender,32bits,26794399,63,0.0,0.0
blender,64bits,3357625,0,0.06310323517367186,0.3396423739493031
blender,64bits,3357625,1,0.6223476415621161,0.9563670681359967
blender,64bits,3357625,2,0.08053847585719072,0.40407370721165087
