bench,alloc_type,total,mean_abs_exp,frac_high_precision,frac_mid_precision,frac_extreme,mean_posit_useful_bits
blender,32bits,16097647,19.253020633453634,0.22831113143430218,0.5239347092155766,0.4628162115866996,14.677520416493168
blender,64bits,3325938,34.36248206679317,1.8040023596350864e-06,0.47149556004952586,0.37032169571411133,16.209478348664348
bwaves,32bits,3004,103.5993265993266,0.0,0.0,1.0,0.0
bwaves,64bits,706953216,56.004452227585375,0.11094600777655986,0.27787832427089487,0.6632080304448321,8.848285892796618
cactus,32bits,260,118.0,0.0,0.0,1.0,0.0
cactus,64bits,210474701,4.636972732630689,0.6201839716593778,0.9771757509231478,0.020444542643631075,25.60667445727836
cam4,32bits,105681564,63.177045536245515,0.02741040055009027,0.09849638485668134,0.81486708504806,4.739992786253618
cam4,64bits,1494819124,61.974082814675164,0.3291913657641966,0.7541597046091846,0.1330597520506434,20.96285626628095
exchange2,32bits,4016,118.0,0.0,0.0,1.0,0.0
exchange2,64bits,16,,0.0,0.0,1.0,0.0
fotonik,32bits,11955337,106.60747436120285,0.0,0.0,1.0,0.0
fotonik,64bits,2094431,46.49483841550027,0.005035735242650629,0.009244993031520255,0.9869983780797744,8.016075965262164
gcc,32bits,1003,118.0,0.0,0.0,1.0,0.0
gcc,64bits,3607,,0.0,0.0,1.0,0.0
imagick,32bits,12,87.0,0.0,0.0,1.0,1.2916666666666667
imagick,64bits,1075203,,0.0,0.0,1.0,0.0
lbm,64bits,553520048,5.473684210526316,0.05253648915711902,0.9981932939852614,0.0018067060147386026,25.21751479541713
leela,32bits,441144,37.824675531632344,0.1363341675280634,0.3588941479426219,0.6208539615182344,9.616040340569066
leela,64bits,557405,,0.0,0.0,1.0,0.0
mcf,32bits,9950457,105.87794150845808,0.0,0.0,1.0,0.21216367248258045
mcf,64bits,481351734,,0.0,0.0,1.0,0.0
nab,32bits,2282,67.86842105263158,0.0013146362839614374,0.004820333041191937,0.971954425942156,0.555872042068361
nab,64bits,7,,0.0,0.0,1.0,0.0
namd,32bits,12815159,115.64685362084391,0.0,0.0,1.0,0.0
namd,64bits,1096482130,3.496148026626902,0.6757041722148267,0.9996574645498326,9.701936501236003e-06,26.252690484340132
omnetpp,32bits,49,60.214285714285715,0.0,0.061224489795918366,0.8979591836734694,2.173469387755102
omnetpp,64bits,72904969,1.3333333333333333,4.937935026074834e-07,5.760924197087307e-07,0.9999994239075803,1.5746526138705305e-05
parest,32bits,1757856,125.0716723549488,0.0,0.0,1.0,0.0
parest,64bits,14235778,30.51716220780584,0.004855091165372205,0.5082422611535526,0.23358927063908977,16.048877939793666
perlbench,32bits,9715651,118.00002625560886,0.0,0.0,1.0,0.0
perlbench,64bits,5601,,0.0,0.0,1.0,0.0
pop2,32bits,492162636,31.46544245457975,0.00708050092612069,0.007631906051478479,0.9918569783505468,0.22809831199782504
pop2,64bits,140112868,35.631484758781,0.4031398814846899,0.7816024649499003,0.11266808127858749,21.623346511613764
povray,32bits,517127,52.460444335036,0.364668640392012,0.379483183047878,0.5988702968516438,10.961423402761797
povray,64bits,32285881,7.7880633072721785,0.3974405406499516,0.603337632322934,0.30385427611530874,17.242123685582563
roms,32bits,858923,116.72492380160709,0.0,0.0,1.0,0.0
roms,64bits,1485310779,16.02632069744993,0.19108159451389803,0.6786749145378685,0.12995653753348274,20.149307809271612
wrf,32bits,3067344558,11.157198064565325,0.3254486009393406,0.7944118585063114,0.0788419352398036,22.155142354568177
wrf,64bits,937461,527.8360278197974,0.007927796462999527,0.037175946519375204,0.9526476301414138,1.1560587587110291
x264,32bits,36702161,77.96759281670947,0.049446271024749744,0.08015465356385963,0.8739987817066139,3.447602349627315
xalancbmk,64bits,253254,,0.0,0.0,1.0,0.0
xz,32bits,191803488,,0.0,0.0,1.0,0.0
xz,64bits,40897194,522.396488117847,0.0013097964618306087,0.005509326630086162,0.9703166432396315,0.6295488878772465
