bench,alloc_type,lines,trivial_lines,mean_slots_per_line,frac_homog_high32,frac_homog_high16,frac_homog_high8,frac_homog_exp
blender,32bits,656354,128,15.833719736413185,0.9506303001124393,0.9506303001124393,0.9506303001124393,0.7736084490991142
blender,64bits,286493,458,7.975863474948684,0.05831905142534023,0.07404718439892075,0.08036496528710999,0.07427755651970554
bwaves,32bits,462,0,8.036796536796537,0.9848484848484849,1.0,1.0,0.8939393939393939
bwaves,64bits,6667559,0,7.999977353031297,0.04901298961134052,0.049485876315455174,0.05159144448515566,0.04967815057954493
cactus,32bits,43,5,6.729166666666667,1.0,1.0,1.0,0.0
cactus,64bits,1602157,0,7.999988765145988,0.24737338475567625,0.27512409832494567,0.4107387727919299,0.28521986297223056
cam4,32bits,1689847,3475,10.21892823692127,0.3521212275430853,0.39226036439985396,0.8282696599159569,0.35527299217029706
cam4,64bits,14414525,264,7.940269399711643,0.31256049019998927,0.40721654026060516,0.7427476798576436,0.5412749986558697
exchange2,32bits,528,0,7.996212121212121,0.9848484848484849,1.0,1.0,0.9299242424242424
exchange2,64bits,4,0,4.0,1.0,1.0,1.0,1.0
fotonik,32bits,1395366,0,15.286307678415556,0.9986533998965146,1.0,1.0,0.9959523164531743
fotonik,64bits,7849946,1,7.999986878892304,0.9934264515959728,0.9934267063747955,0.9963528411533022,0.9935352421532582
gcc,32bits,69,16,7.6,1.0,1.0,1.0,0.0
gcc,64bits,1556,752,4.697573656845754,1.0,1.0,1.0,1.0
imagick,32bits,134,0,7.985074626865671,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9850746268656716
imagick,64bits,361,1,7.961325966850829,0.3878116343490305,1.0,1.0,1.0
lbm,64bits,6700000,0,8.0,0.17481119402985074,0.1900673134328358,0.6,0.2
leela,32bits,50042,0,8.416749930058751,0.6444986211582271,0.6444986211582271,0.6456176811478358,0.6454178490068343
leela,64bits,12139,47,7.935910060725423,1.0,1.0,1.0,1.0
mcf,32bits,19455,0,7.999588794654331,0.679568234387047,0.679568234387047,0.679568234387047,5.1400668208686716e-05
mcf,64bits,5708840,0,7.079734762228403,0.8668715535905718,0.8668715535905718,0.8668715535905718,0.8668715535905718
nab,32bits,299,15,6.127388535031847,0.7993311036789298,0.7993311036789298,0.7993311036789298,0.7993311036789298
nab,64bits,1,0,7.0,1.0,1.0,1.0,1.0
namd,32bits,30314,0,12.687009302632447,1.0,1.0,1.0,0.19014316817312132
namd,64bits,599099,48,7.997381277048871,0.40465933009402455,0.40465933009402455,0.42110402454352286,0.4074652102574032
omnetpp,32bits,1,0,7.0,0.0,0.0,0.0,0.0
omnetpp,64bits,1620965,7,7.923593991753096,0.9999851940048058,0.9999851940048058,0.9999851940048058,0.9999851940048058
parest,32bits,71676,0,15.906035493052068,0.9901780233271946,1.0,1.0,0.9261119482113958
parest,64bits,86807,10,7.947994056463596,0.40288225603925953,0.4037808010874699,0.4430633474258988,0.40405727648691925
perlbench,32bits,161,2,7.815950920245399,1.0,1.0,1.0,0.055900621118012424
perlbench,64bits,662,2,7.280120481927711,1.0,1.0,1.0,1.0
pop2,32bits,6177095,42,15.438756336471087,0.9978183919787538,0.9987892366881196,0.9987910174604729,0.9661525361031359
pop2,64bits,17727925,315,7.99776966015803,0.7488342826360107,0.7654379178612274,0.8349795026772733,0.7951287023156969
povray,32bits,5443,0,8.04023516443138,0.9785045011941944,0.9785045011941944,0.9785045011941944,0.9676648906852838
povray,64bits,3451,405,7.0728734439834025,0.7348594610257896,0.7429730512894813,0.7748478701825557,0.7658649666763258
roms,32bits,5858,0,13.961078866507341,0.996073745305565,1.0,1.0,0.9607374530556504
roms,64bits,4327142,19,7.995346140344674,0.8206317241264558,0.981240504702642,0.9849688316214259,0.9839940542741606
wrf,32bits,2860764,66,15.554442941384144,0.9999930088605701,1.0,1.0,0.7075106510009215
wrf,64bits,4180,0,7.993062200956937,0.9535885167464114,0.9535885167464114,0.9540669856459331,0.9535885167464114
x264,32bits,1133587,0,8.48308334516892,0.13746981925516083,0.14270894073414744,0.15423606657451083,0.12332004513107507
xalancbmk,64bits,16143,1,7.982346382556987,1.0,1.0,1.0,1.0
xz,32bits,1491392,3,14.520357115318209,1.0,1.0,1.0,1.0
xz,64bits,403722,509934,4.093090835062649,0.07287440367381515,0.07338713272994783,0.0737512446683609,0.07346391824076964
