bench,addr,generation,alloc_type,alloc_size,stores,pairs,silent,silent_frac,site
wrf,0xd4eb4c0,179,32bits,7668,2154,237,0,0.0,__module_mp_wsm5_MOD_wsm52d
wrf,0x7f7e400,1,32bits,23856,12301,6337,2970,0.4686760296670348,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0xd0e9600,24,32bits,7668,2019,102,0,0.0,__module_mp_wsm5_MOD_wsm52d
wrf,0xd0e9600,519,32bits,7668,2000,83,0,0.0,__module_mp_wsm5_MOD_wsm52d
wrf,0xd4fa760,559,32bits,15336,11502,7668,7311,0.9534428794992176,__module_mp_wsm5_MOD_wsm52d
wrf,0xd4e7800,68,32bits,7668,3101,1184,0,0.0,__module_mp_wsm5_MOD_wsm52d
wrf,0xd0ab560,88,32bits,7668,2580,663,0,0.0,__module_mp_wsm5_MOD_wsm52d
wrf,0xdcff5c0,45,32bits,23856,8760,4380,2,0.0004566210045662,__module_surface_driver_MOD_surface_driver
wrf,0xd0f2d00,406,32bits,15336,11502,7668,7296,0.9514866979655712,__module_mp_wsm5_MOD_wsm52d
wrf,0xdd1d640,60,32bits,7668,5751,3834,3523,0.9188836724047992,__module_mp_wsm5_MOD_wsm52d
wrf,0xd0d6720,196,32bits,7668,3537,1620,1059,0.6537037037037037,__module_mp_wsm5_MOD_wsm52d
wrf,0xe0ff2e0,18,32bits,7668,3788,1871,1871,1.0,__module_mp_wsm5_MOD_wsm52d
wrf,0xd9013a0,121,32bits,7668,2052,135,118,0.8740740740740741,__module_mp_wsm5_MOD_wsm52d
wrf,0xd9180c0,28,32bits,7668,1932,15,1,0.0666666666666666,__module_mp_wsm5_MOD_wsm52d
wrf,0xd90c900,90,32bits,7668,1988,71,71,1.0,__module_mp_wsm5_MOD_wsm52d
wrf,0xd4e78e0,359,32bits,7668,1921,4,4,1.0,__module_mp_wsm5_MOD_wsm52d
wrf,0xd0f2d00,42,32bits,15336,11502,7668,7207,0.9398800208659364,__module_mp_wsm5_MOD_wsm52d
wrf,0xd0cb160,977,32bits,9408,241556,239512,8555,0.0357184608704365,__module_big_step_utilities_em_MOD_horizontal_pressure_gradient
wrf,0xdd27060,20,32bits,4007808,2822070,2063718,1407563,0.6820520051673726,solve_em_
wrf,0xd90c900,56,32bits,7668,1988,71,9,0.1267605633802817,__module_mp_wsm5_MOD_wsm52d
wrf,0xe0ff2e0,9,32bits,7668,3723,1806,1806,1.0,__module_mp_wsm5_MOD_wsm52d
wrf,0xd4f3d00,855,32bits,7884,11607,9636,146,0.0151515151515151,__module_bl_ysu_MOD_ysu2d
wrf,0xd4e7800,285,32bits,7668,3095,1178,0,0.0,__module_mp_wsm5_MOD_wsm52d
wrf,0xd4f3d00,74,32bits,7884,17520,15549,0,0.0,__module_bl_ysu_MOD_ysu2d
wrf,0xd0e9600,188,32bits,7668,1970,53,0,0.0,__module_mp_wsm5_MOD_wsm52d
wrf,0xdd15cc0,82,32bits,7668,5842,3925,55,0.0140127388535031,__module_mp_wsm5_MOD_wsm52d
wrf,0xd4e78e0,138,32bits,7668,1920,3,3,1.0,__module_mp_wsm5_MOD_wsm52d
wrf,0xd0d6720,734,32bits,7668,3834,1917,1365,0.7120500782472613,__module_mp_wsm5_MOD_wsm52d
wrf,0xd4f3d00,340,32bits,7884,17520,15549,0,0.0,__module_bl_ysu_MOD_ysu2d
wrf,0xd0da380,452,32bits,15336,7810,3976,2824,0.710261569416499,__module_mp_wsm5_MOD_wsm52d
wrf,0xd0dc240,398,32bits,7668,4226,2309,1854,0.8029449978345604,__module_mp_wsm5_MOD_wsm52d
wrf,0xd4f3d00,609,32bits,7884,11607,9636,146,0.0151515151515151,__module_bl_ysu_MOD_ysu2d
wrf,0xd4e1dc0,127,32bits,7668,1988,71,42,0.5915492957746479,__module_mp_wsm5_MOD_wsm52d
wrf,0xd0e9600,481,32bits,7668,1988,71,0,0.0,__module_mp_wsm5_MOD_wsm52d
wrf,0xd4f3d00,201,32bits,7884,11607,9636,146,0.0151515151515151,__module_bl_ysu_MOD_ysu2d
wrf,0xd4ed320,148,32bits,7668,2027,110,70,0.6363636363636364,__module_mp_wsm5_MOD_wsm52d
wrf,0xd0dc240,487,32bits,7668,4231,2314,1875,0.81028522039758,__module_mp_wsm5_MOD_wsm52d
wrf,0xd4eb4c0,374,32bits,7668,2167,250,0,0.0,__module_mp_wsm5_MOD_wsm52d
