bench,addr,generation,alloc_type,alloc_size,total,pct_fp8_e4m3,pct_fp8_e5m2,pct_bf16,pct_fp16,pct_fp32,site
wrf,0x6614200,1,32bits,667968,97582452,0.0463201314105122,0.0463077213923667,0.0466737298218331,0.0493156085071525,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0x5ac8060,1,32bits,667968,96362220,0.0483373255618228,0.0483348972242441,0.0484058586446015,0.0488193505712093,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0x544fb80,1,32bits,667968,87679032,0.1354786398645459,0.1354774537200638,0.1355206111308345,0.1357470392693204,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0x58dbce0,1,32bits,667968,87584262,0.1361864075534483,0.1361810527101318,0.13622110556803,0.1364526083464629,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0x7927060,1,32bits,4007808,87549804,0.5834265716916968,0.5834139388821475,0.5834815461151689,0.5835708667034822,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0x6222020,1,32bits,667968,75169914,0.0522826060436892,0.0512090515362303,0.0704869903137044,0.116260862025198,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0x56c8060,1,32bits,667968,73022307,0.0522911444033122,0.052216537064489,0.0532656411416856,0.0552822440956295,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0x52086a0,1,32bits,667968,72811356,0.0522752934308763,0.0522114572347753,0.053099505522188,0.0550376921973544,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0x5b959a0,1,32bits,667968,70218252,0.0411162186150689,0.040566204923472,0.0513588546749924,0.0849809961091028,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0x66c8060,1,32bits,667968,58673454,0.0770032219340623,0.0770028299339595,0.0770162431548686,0.0771188278774247,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0x5e22020,1,32bits,667968,58648380,0.1002653099710512,0.099656205337641,0.1114635902986578,0.145185476563888,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0x5cdbce0,1,32bits,667968,49044912,0.2909722623215228,0.2906453170922194,0.2980601127391155,0.3308522808645268,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0x5838b40,1,32bits,667968,48301692,0.2393225272522544,0.2392419710680114,0.2401061022872656,0.2423453820209859,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0x53ac9e0,1,32bits,667968,48196392,0.2399295366341945,0.2398583487328263,0.2405877394307856,0.242615090357801,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0x63c0140,1,32bits,667968,24839232,0.4672691571140364,0.4672676272760768,0.4672958487605413,0.4674100632418909,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0x597ee80,1,32bits,667968,22965702,0.502825779068282,0.5028251694635766,0.5028367519529775,0.5028974947075425,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0x54f2d20,1,32bits,667968,22934112,0.5041471847700055,0.5041466179287866,0.5041584343880418,0.5042215281760201,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0xab719e0,1,32bits,667968,21834852,0.3795470195996748,0.3794534993871266,0.379718213798747,0.37977111088273,1.0,__module_alloc_space_2_MOD_alloc_space_field_core_2
wrf,0xaa29360,1,32bits,667968,18972312,0.4140889101971335,0.4136432607686401,0.41476478986852,0.4150560564258062,1.0,__module_alloc_space_2_MOD_alloc_space_field_core_2
wrf,0xaacd6a0,1,32bits,667968,18972312,0.4127616075468293,0.4122781662034653,0.4135723679855149,0.4138849287319331,1.0,__module_alloc_space_2_MOD_alloc_space_field_core_2
wrf,0xad27060,1,32bits,667968,14607852,0.8956669330987198,0.8956639894763446,0.8956851424836451,0.8957178646114432,1.0,__module_alloc_space_2_MOD_alloc_space_field_core_2
wrf,0xac15d20,1,32bits,667968,14607852,0.2821278583600107,0.2814615728582135,0.2838288613548385,0.284254249016214,1.0,__module_alloc_space_2_MOD_alloc_space_field_core_2
wrf,0xadca200,1,32bits,667968,14607852,0.590119615122059,0.5900914795686594,0.5903051317880275,0.5904695639030297,1.0,__module_alloc_space_2_MOD_alloc_space_field_core_2
wrf,0xa527060,1,32bits,667968,14358192,0.0198676128582205,0.019867334271613,0.0198820993618137,0.0199879622726872,1.0,__module_alloc_space_1_MOD_alloc_space_field_core_1
wrf,0x5c38b40,1,32bits,667968,13336512,0.0312134087233603,0.0312131087948633,0.0312275053627215,0.0313312056405752,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0x57959a0,1,32bits,667968,13058142,0.0150967878891192,0.0150961752445332,0.0151101894894388,0.0152164067445429,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0x5309840,1,32bits,667968,13026552,0.0151329377106083,0.015132707411754,0.0151458344464444,0.0152509274902522,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0x676b200,1,32bits,667968,13007274,0.0151811978436065,0.0151808903233682,0.0151951131343892,0.0153109713841655,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0x60dbce0,1,32bits,667968,12966000,0.022903902514268,0.0229028227672373,0.0229166281042727,0.0230262995526762,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0x6cb26e0,1,32bits,667968,11308812,0.0179585618719278,0.017957147046038,0.0179801379667466,0.0181160496787814,1.0,__module_alloc_space_0_MOD_alloc_space_field_core_0
wrf,0xba6d3a0,1,32bits,667968,10810392,0.015457163810526,0.0154531861564317,0.0155704807004223,0.0162348414377573,1.0,__module_alloc_space_2_MOD_alloc_space_field_core_2
