bench,stores,allocations,stores_64bits,stores_32bits,stores_object,frac_zero_value
wrf,4493834781,158293,1368723,4446681119,45784939,0.3109662402161198
x264,2695666279,2205,0,42378420,2653287859,0.11609947508639663
cam4,1859952709,124506,1688065555,115718790,56168364,0.11306391715360543
roms,1798009772,50229,1797046454,951206,12112,0.17342956854630487
xz,1471889626,29,50610078,230562997,1190716551,0.10860007922903861
bwaves,1306491212,144,1306476514,12226,2472,0.4588875259881962
namd,1195729120,10975,1103192824,12829728,79706568,0.005792078560401707
pop2,1037644259,5998,318795464,646558086,72290709,0.348539771567319
mcf,567857414,30,556881961,10973422,2031,0.13481058820868014
lbm,556200629,3,556200048,0,581,0.0048184051945759305
fotonik,378831811,2795,295842288,22002158,60987365,0.9316238809733959
cactus,312536979,218,312498020,323,38636,0.3264361942911082
deepsjeng,223975970,1,0,0,223975970,0.8249254908908308
omnetpp,91358428,1098,73108439,70,18249919,0.0024967592480903897
leela,72837195,1114,937142,889572,71010481,0.1675559170009224
povray,38620080,524,36417306,976390,1226384,0.15002674774366082
blender,35489362,3501,3357625,26794399,5337338,0.3164203402698533
parest,20980151,101,19195481,1784670,0,0.2376778413081965
perlbench,18719907,68860,6894,10686177,8026836,0.13415339082614033
imagick,3166772,31,1075203,1087,2090482,0.274438766036835
xalancbmk,735997,85,447619,0,288378,0.31263170909664034
gcc,270895,96,12425,2157,256313,0.5335425164731723
exchange2,12578,12,32,11178,1368,0.5706789632692002
nab,3591,7,7,2958,626,0.18824839877471455
