bench,alloc_type,zero,pointer_ish,double_ish,total
blender,32bits,10696752,0,1047089,26794399
blender,64bits,31687,38949,3053356,3357625
blender,object,501117,7465,4478,5337338
bwaves,32bits,9222,14,0,12226
bwaves,64bits,599523298,0,539892044,1306476514
bwaves,object,0,0,2,2472
cactus,32bits,63,0,0,323
cactus,64bits,102023319,0,209845759,312498020
cactus,object,0,0,0,38636
cam4,32bits,10037226,111,78005812,115718790
cam4,64bits,193246431,297611,1383240065,1688065555
cam4,object,7009882,23067,664558,56168364
deepsjeng,object,184763487,0,0,223975970
exchange2,32bits,7162,9,0,11178
exchange2,64bits,16,0,0,32
exchange2,object,0,0,0,1368
fotonik,32bits,10046821,2716,0,22002158
fotonik,64bits,293747857,0,2066148,295842288
fotonik,object,49134084,0,64,60987365
gcc,32bits,1154,0,0,2157
gcc,64bits,8818,0,0,12425
gcc,object,134562,1485,96,256313
imagick,32bits,1075,0,0,1087
imagick,64bits,0,666480,0,1075203
imagick,object,868010,202626,116,2090482
lbm,64bits,2680000,0,552520000,556200048
lbm,object,0,0,0,581
leela,32bits,448428,218,16723,889572
leela,64bits,379737,3098,0,937142
leela,object,11376138,29065078,1081255,71010481
mcf,32bits,1022965,0,0,10973422
mcf,64bits,75530227,0,0,556881961
mcf,object,0,0,0,2031
nab,32bits,676,0,168,2958
nab,64bits,0,0,0,7
nab,object,0,0,0,626
namd,32bits,14569,0,0,12829728
namd,64bits,6710694,897,1096476953,1103192824
namd,object,200494,13426635,830018,79706568
omnetpp,32bits,21,0,1,70
omnetpp,64bits,203470,0,42,73108439
omnetpp,object,24609,13507,102,18249919
parest,32bits,26814,6144,0,1784670
parest,64bits,4959703,1276,13693062,19195481
perlbench,32bits,970526,0,0,10686177
perlbench,64bits,1293,0,0,6894
perlbench,object,1539520,10,83,8026836
pop2,32bits,154395450,8527868,469048,646558086
pop2,64bits,178682596,1716311,133079360,318795464
pop2,object,28582247,7743,5981,72290709
povray,32bits,459263,0,205620,976390
povray,64bits,4131425,0,22506874,36417306
povray,object,1203357,32,24,1226384
roms,32bits,92283,58,0,951206
roms,64bits,311735675,0,1467423936,1797046454
roms,object,101,0,11,12112
wrf,32bits,1379336561,2142,0,4446681119
wrf,64bits,431262,48482,117682,1368723
wrf,object,17663083,119769,161714,45784939
x264,32bits,5676259,2409273,1430903,42378420
x264,object,307289181,19827052,5947351,2653287859
xalancbmk,64bits,194365,0,0,447619
xalancbmk,object,35731,2344,0,288378
xz,32bits,38759509,0,0,230562997
xz,64bits,9712884,214913,4655244,50610078
xz,object,111374937,16787745,730055,1190716551
