bench,alloc_type,aligned_8B,aligned_4B_only,unaligned,total
blender,32bits,14564673,12229726,0,26794399
blender,64bits,3357625,0,0,3357625
blender,object,1379347,696273,3261718,5337338
bwaves,32bits,11574,652,0,12226
bwaves,64bits,1306476514,0,0,1306476514
bwaves,object,500,422,1550,2472
cactus,32bits,247,76,0,323
cactus,64bits,312498020,0,0,312498020
cactus,object,4837,4836,28963,38636
cam4,32bits,106926034,8792756,0,115718790
cam4,64bits,1688065555,0,0,1688065555
cam4,object,12365142,6261485,37541737,56168364
deepsjeng,object,193944037,8043948,21987985,223975970
exchange2,32bits,10845,333,0,11178
exchange2,64bits,32,0,0,32
exchange2,object,252,225,891,1368
fotonik,32bits,11793211,10208947,0,22002158
fotonik,64bits,295842288,0,0,295842288
fotonik,object,10169589,10169225,40648551,60987365
gcc,32bits,1913,244,0,2157
gcc,64bits,12425,0,0,12425
gcc,object,211118,12280,32915,256313
imagick,32bits,1083,4,0,1087
imagick,64bits,1075203,0,0,1075203
imagick,object,732137,405807,952538,2090482
lbm,64bits,556200048,0,0,556200048
lbm,object,73,73,435,581
leela,32bits,725833,163739,0,889572
leela,64bits,937142,0,0,937142
leela,object,66155489,3134779,1720213,71010481
mcf,32bits,10961452,11970,0,10973422
mcf,64bits,556881961,0,0,556881961
mcf,object,255,253,1523,2031
nab,32bits,1968,990,0,2958
nab,64bits,7,0,0,7
nab,object,83,75,468,626
namd,32bits,12669221,160507,0,12829728
namd,64bits,1103192824,0,0,1103192824
namd,object,42873475,12277229,24555864,79706568
omnetpp,32bits,37,33,0,70
omnetpp,64bits,73108439,0,0,73108439
omnetpp,object,2333730,2279470,13636719,18249919
parest,32bits,896143,888527,0,1784670
parest,64bits,19195481,0,0,19195481
perlbench,32bits,10183725,502452,0,10686177
perlbench,64bits,6894,0,0,6894
perlbench,object,3136388,1700437,3190011,8026836
pop2,32bits,328255217,318302869,0,646558086
pop2,64bits,318795464,0,0,318795464
pop2,object,13115794,12881157,46293758,72290709
povray,32bits,906399,69991,0,976390
povray,64bits,36417306,0,0,36417306
povray,object,187970,179280,859134,1226384
roms,32bits,515584,435622,0,951206
roms,64bits,1797046454,0,0,1797046454
roms,object,2351,1681,8080,12112
wrf,32bits,2223603164,2223077955,0,4446681119
wrf,64bits,1368723,0,0,1368723
wrf,object,10417404,5148902,30218633,45784939
x264,32bits,38972908,3405512,0,42378420
x264,object,631827161,467369841,1554090857,2653287859
xalancbmk,64bits,447619,0,0,447619
xalancbmk,object,202165,23433,62780,288378
xz,32bits,131486418,99076579,0,230562997
xz,64bits,50610078,0,0,50610078
xz,object,700307871,252405169,238003511,1190716551
