bench,addr,max_generation,avg_size,total_stores
perlbench,0x4cad920,15573,341555.733448918,825706
perlbench,0x4cb1d60,14135,262567.43742483197,707023
cam4,0xd7f42c0,9912,7120070.411622276,9424965
perlbench,0x4cb7aa0,8972,216594.77374052609,311671
perlbench,0x4cbac00,8568,440892.662464986,524767
cam4,0xd3f42c0,8376,8996406.46418338,10063288
cam4,0xd7ecd60,5333,256773653.4093381,45661524
cam4,0xcff4a40,5328,7008768.0,4987008
perlbench,0x4cb5600,5305,295473.42224316683,330206
perlbench,0x4cb9b00,5222,221827.71888165452,186490
wrf,0xe0f9840,4980,6800076.28192771,2726541
wrf,0xdd05360,4420,134656332.800905,26484545
wrf,0xdd15b00,4380,125440000.0,24528000
wrf,0xdd0ab40,4380,125440000.0,24528000
wrf,0xdd10320,4380,125440000.0,24528000
wrf,0xdd20880,4380,125440000.0,24528000
wrf,0xd524f40,4380,10455200.0,8177460
cam4,0xc7f32e0,3434,7013900.81304601,3216344
cam4,0xdbde2a0,3433,7035762.316341393,3217344
cam4,0xdbea660,3432,7008768.0,3212352
