bench,alloc_type,allocations,avg_coverage,min_coverage,max_coverage,avg_writes_per_slot
blender,32bits,3121,0.9971655553784199,0.0008532423208191126,0.9999980709950965,1.359978369546013
blender,64bits,313,0.24164200596556573,6.1031431187061336e-05,1.0,1.1786810124879277
bwaves,32bits,7,0.5080733442802409,0.5038314176245211,0.5162835249042146,3.291362597437309
bwaves,64bits,134,0.9915650114810564,0.03125,1.0,8.252321209420469
cactus,32bits,19,0.013390791836907194,0.01103896103896104,0.016409266409266408,1.0
cactus,64bits,176,0.9830651694074106,0.00022007042253521127,0.9999881898598136,23.99107971110522
cam4,32bits,1027,0.9441416592380317,0.41785714285714287,1.0,1.7604637202580395
cam4,64bits,123449,0.9496754831355372,0.03125,1.0,1.5359627701916874
exchange2,32bits,9,0.5054278416347382,0.5009578544061303,0.5114942528735632,2.346652563180219
exchange2,64bits,1,0.03125,0.03125,0.03125,2.0
fotonik,32bits,2721,0.5044470634950766,0.18666666666666668,1.0,1.1620025636971743
fotonik,64bits,68,0.9857536764705882,0.03125,1.0,3.743051286047435
gcc,32bits,28,0.008582039615113703,0.0058309037900874635,0.015824541921154914,1.9588628438522317
gcc,64bits,30,0.21185760704647374,0.0009794319294809011,0.7980858440353533,1.3448653947688893
imagick,32bits,1,0.50187617260788,0.50187617260788,0.50187617260788,1.0158878504672897
imagick,64bits,3,0.9941180247793993,0.9918720165139981,0.9959173093124231,193.22766420138552
lbm,64bits,2,1.0,1.0,1.0,10.376866567164178
leela,32bits,236,0.03264415891423477,0.030545112781954886,0.52592,1.00456787307021
leela,64bits,370,0.5698485677578987,0.00022007042253521127,0.59375,5.773781542922981
mcf,32bits,1,0.49998714950268575,0.49998714950268575,0.49998714950268575,70.50877711524622
mcf,64bits,27,0.6053334338980685,0.0002933583665806149,1.0,1607.0808487985628
nab,32bits,5,0.3039662756598241,0.2103494623655914,0.6363636363636364,1.5214285714285716
nab,64bits,1,4.375e-05,4.375e-05,4.375e-05,1.0
namd,32bits,4,0.7291629573577851,0.5,1.0,756.2131761149188
namd,64bits,459,0.9941653470348786,0.00022007042253521127,1.0,1830.2539906085024
omnetpp,32bits,1,0.0008532423208191126,0.0008532423208191126,0.0008532423208191126,10.0
omnetpp,64bits,1072,0.9086169476168499,0.00022007042253521127,1.0,3.2662353359713
parest,32bits,14,0.8928571428571429,0.5,1.0,1.6148830887680201
parest,64bits,87,0.996168582375479,0.8333333333333334,1.0,143.61390420743467
perlbench,32bits,4,0.26721792474215117,0.12083333333333333,0.3583815028901734,6372.17460199446
perlbench,64bits,8,0.5468154345447258,0.0007979253939756633,0.9991008092716556,1.6812726449275364
pop2,32bits,3261,0.6557214170559273,0.0008532423208191126,1.0,2.53409592843247
pop2,64bits,1263,0.9515055237043604,0.03125,1.0,15.42602617955246
povray,32bits,113,0.48412748466970784,0.014893617021276596,0.5185004868549172,361.93326399438814
povray,64bits,270,0.03777407967459581,5.297171310520182e-05,1.0,1985.3393139887119
roms,32bits,60,0.5273148148148148,0.5028735632183908,1.0,3.392164921282856
roms,64bits,50167,0.8410846494138383,0.030813673567645642,1.0,6.4444994661020925
wrf,32bits,157470,0.9708659540459736,0.0018115942028985507,1.0,3.8143465191592676
wrf,64bits,6,0.5751139322916666,0.03125,1.0,142.6953898793445
x264,32bits,1718,0.3613141235183287,7.592128101977465e-06,0.9986830248838983,2.2862866561178516
xalancbmk,64bits,51,0.8721059732142669,0.00022007042253521127,1.0,2.6014133280563034
xz,32bits,7,0.8888365860279048,0.3289064719594417,1.5192369275813167,7.82560169041687
xz,64bits,13,0.5834055901532499,0.009689922480620155,1.4909716373336317,5.222044718725821
